To ^in++++=To
advance ^nn+nom+++=advance
the ^ati++++=the
public ^jj+atrb+++=public
value ^nn++++=value
of ^in++++=of
open ^jj+atrb+++=open
access ^nn++++=access
and ^cc++++=and
support ^nn++++=support
the ^ati++++=the
global ^jj+atrb+++=global
growth ^nn++++=growth
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
publishing ^nvbg+++xvbg+=publishing,
, ^zz++++=EXTRAWORD
Pkp ^np+++??+=PKP
is ^vbz+bez+aux++=is
developing ^vbg+++xvbgx+=developing
new ^jj+atrb+++=new
tools ^nns++++=tools
to ^to++++=to
assess ^vbi++++=assess
and ^cc+phrs+++=and
communicate ^nn+nom+++=communicate
the ^ati++++=the
trustworthiness ^nns+nom+++=trustworthiness
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
outputs ^nns+++??+=outputs.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
initiative ^nn++++=initiative
will ^md+prd+++=will
require ^vb+vsua+++=require
journals ^nns+nom+++=journals
to ^to++++=to
engage ^vbi++++=engage
with ^in++++=with
third ^od++++=third-party
- ^zz++++=EXTRAWORD
party ^nn++++=EXTRAWORD
trade ^nn++++=trade
organizations ^nns+nom+++=organizations
to ^to++++=to
verify ^vbi+vpub+++=verify
and ^cc+phrs+++=and
register ^nn+nom+++=register
the ^ati++++=the
roles ^nns++++=roles
and ^cc++++=and
responsibilities ^nns+nom+++=responsibilities
of ^in++++=of
individuals ^nns+nom+++=individuals
involved ^vbd+++xvbn+=involved
in ^in++++=in
the ^ati++++=the
publishing ^jj+atrb++xvbg+=publishing
process ^nns+nom+++=process;
; ^zz++++=EXTRAWORD
for ^in++++=for
example ^nn++++=example,
, ^zz++++=EXTRAWORD
Orcid ^np+++??+=ORCiD,
, ^zz++++=EXTRAWORD
an ^at++++=an
organization ^nn+nom+++=organization
specializing ^vwbg+++xvbg+=specializing
in ^in++++=in
researcher ^nn+nom+++=researcher
identity ^nn+nom+++=identity
and ^cc++++=and
profile ^nn++++=profile
management ^nn+nom+++=management,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
