Given ^vbd+++xvbn+=Given
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
culicids ^nns+++??+=culicids
in ^in++++=in
various ^jj+atrb+++=various
fields ^nns++++=fields
of ^in++++=of
natural ^jj+atrb+++=natural
and ^cc+phrs+++=and
applied ^jj+atrb++xvbn+=applied
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
biological ^jj+atrb+++=biological
collections ^nns+nom+++=collections
in ^in++++=in
conserving ^xvbg+++xvbg+=conserving
biodiversity ^nn+nom+++=biodiversity
data ^nns++++=data,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+++=that
all ^abn++++=all
available ^jj+atrb+++=available
information ^nn+nom+++=information
on ^in++++=on
these ^dt+dem+++=these
insects ^nns++++=insects
be ^vb+be+aux++=be
published ^vpsv++agls+xvbnx+=published,
, ^zz++++=EXTRAWORD
shared ^j+++xvbn+=shared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
accessible ^jj++++=accessible
to ^in++++=to
both ^abx++++=both
the ^ati++++=the
general ^jj++++=general
public ^jj++++=public
and ^cc++++=and
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn+nom+++=community.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
collection ^nn+nom+++=collection
and ^cc++++=and
cataloguing ^nn++++=cataloguing
of ^in++++=of
the ^ati++++=the
Ana ^np+++??+=Ana
Leuch ^np+++??+=Leuch
Lozovei ^np+++??+=Lozovei
Entomological ^np+++??+=Entomological
Collection ^nn+nom+++=Collection
at ^in++++=at
Colpar ^np+++??+=ColPar/DPAT/BL/UFPR
have ^vb+hv+aux++=have
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
repository ^nn++++=repository
of ^in++++=of
information ^nn+nom+++=information
on ^in++++=on
the ^ati++++=the
culicid ^nn+++??+=culicid
fauna ^nn++++=fauna
from ^in++++=from
selected ^jj+atrb++xvbn+=selected
phytogeographic ^jj+atrb+++=phytogeographic
regions ^nns++++=regions
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Paran ^np+++??+=Paran
. ^zz++++=.
This ^dt+dem+++=This
collection ^nn+nom+++=collection
provides ^vbz+vsua+++=provides
valuable ^jj+atrb+++=valuable
data ^nns++++=data
for ^in++++=for
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
entomofauna ^nn+++??+=entomofauna
