Within ^in++++=Within
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
presents ^vbz++++=presents
an ^at++++=an
initiative ^nn++++=initiative
undertaken ^vwbn+++xvbn+=undertaken
by ^in++++=by
the ^ati++++=the
Gpb ^np+++??+=GPB
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
an ^at++++=an
online ^nn+++??+=online
play ^nn++++=play-and-talk
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
talk ^nn++++=EXTRAWORD
workshop ^nn++++=workshop
offered ^vbd+++xvbn+=offered
as ^ql++++=as
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
group ^nn++++=group
s ^zz++++=s
monthly ^jj+atrb+++=monthly
events ^nns++++=events.
. ^zz++++=EXTRAWORD
The ^ati++++=The
workshop ^nn++++=workshop
addressed ^vbd+++xvbn+=addressed
and ^cc+phrs+++=and
illustrated ^vbd+++xvbn+=illustrated
both ^abx++++=both
theoretical ^jj+atrb+++=theoretical
and ^cc+phrs+++=and
practical ^jj+atrb+++=practical
aspects ^nns++++=aspects
of ^in++++=of
collaboration ^nn+nom+++=collaboration
and ^cc++++=and
play ^nn++++=play,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
two ^cd++++=two
fundamental ^jj+atrb+++=fundamental
concepts ^nns++++=concepts
for ^in++++=for
this ^dt+dem+++=this
international ^jj+atrb+++=international
group ^nn++++=group.
. ^zz++++=EXTRAWORD
Entitled ^xvbn+++xvbn+=Entitled
" ^zz++++="Global
global ^jj+atrb+++=EXTRAWORD
Collaboration ^nn+nom+++=Collaboration:
: ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
Can ^md+pos+++=Can
Young ^jj+atrb+++=Young
Professionals ^nns+nom+++=Professionals
Do? ^np+++??+=Do?",
" ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
workshop ^nn++++=workshop
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
integrate ^nn+nom+++=integrate
these ^dt+dem+++=these
concepts ^nns++++=concepts
in ^in++++=in
its ^pp$+it+++=its
organizational ^jj+atrb+++=organizational
structure ^nn++++=structure
and ^cc++++=and
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
aim ^nn++++=aim
of ^in++++=of
addressing ^nn++++=addressing
challenges ^vbz++++=challenges
arising ^vbg+++xvbg+=arising
from ^in++++=from
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
also ^rb++splt++=also
exacerbated ^xvbn+++xvbn+=exacerbated
other ^ap++++=other
significant ^jj+atrb+++=significant
social ^jj+atrb+++=social
issues ^nns++++=issues.
. ^zz++++=EXTRAWORD
