Physiologically ^np+++??+=Physiologically
mature ^jj+atrb+++=mature
capsules ^nns++++=capsules
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
a ^at++++=a
natural ^jj+atrb+++=natural
population ^nn+nom+++=population
located ^vwbn+++xvbn+=located
in ^in++++=in
the ^ati++++=the
municipality ^nn+nom+++=municipality
of ^in++++=of
Curitibanos ^np+++??+=Curitibanos,
, ^zz++++=EXTRAWORD
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
State ^nn++++=State,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil
( ^zz++++=(27
27 ^cd++++=EXTRAWORD
17'02.7"s ^cd++++=17'02.7"S,
, ^zz++++=EXTRAWORD
50 ^cd++++=50
32'05.5"w ^cd++++=32'05.5"W,
, ^zz++++=EXTRAWORD
900 ^cd++++=900
m ^zz++++=m
altitude ^nn++++=altitude).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Collections ^nns+nom+++=Collections
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
at ^rb++++=at
three ^cd++++=three
distinct ^jj+atrb+++=distinct
time ^nn++++=time
points ^nns++++=points,
, ^zz++++=EXTRAWORD
determined ^xvbn+++xvbn+=determined
by ^in++++=by
days ^nns++++=days
after ^cs+sub+++=after
anthesis ^nns+++??+=anthesis
( ^zz++++=(DAA)
daa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
species ^nn++++=species'
' ^zz++++=EXTRAWORD
maturation ^nn+nom+++=maturation
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
spanning ^vbg+++xvbg+=spanning
the ^ati++++=the
period ^nn++++=period
from ^in++++=from
physiological ^jj+atrb+++=physiological
maturation ^nn+nom+++=maturation
to ^in++++=to
seed ^nns++++=seed
dispersal ^nn+nom+++=dispersal:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
120 ^cd++++=120
Daa ^np+++??+=DAA,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
attainment ^nn+nom+++=attainment
of ^in++++=of
physiological ^jj+atrb+++=physiological
seed ^nn++++=seed
maturity ^nn+nom+++=maturity
and ^cc++++=and
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
internal ^jj+atrb+++=internal
water ^nn++++=water
content ^nn++++=content
reduction ^nn+nom+++=reduction;
; ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
135 ^cd++++=135
Daa ^np+++??+=DAA,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
an ^at++++=an
intermediate ^jj+atrb+++=intermediate
stage ^nn++++=stage
in ^in++++=in
the ^ati++++=the
natural ^jj+atrb+++=natural
dehydration ^nn+nom+++=dehydration
process ^nns+nom+++=process;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
150 ^cd++++=150
Daa ^np+++??+=DAA,
, ^zz++++=EXTRAWORD
marking ^nvbg+++xvbg+=marking
the ^ati++++=the
initiation ^nn+nom+++=initiation
of ^in++++=of
carpel ^nn+++??+=carpel
opening ^vwbg+++xvbg+=opening
for ^in++++=for
seed ^nn++++=seed
release ^nn++++=release
and ^cc++++=and
dispersal ^nn+nom+++=dispersal.
. ^zz++++=EXTRAWORD
All ^abn++++=All
experimental ^jj+atrb+++=experimental
procedures ^nns++++=procedures
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
in ^in++++=in
the ^ati++++=the
Laboratory ^nn++++=Laboratory
of ^in++++=of
Developmental ^np+nom++??+=Developmental
Physiology ^nn++++=Physiology
and ^cc++++=and
Plant ^nn++++=Plant
Genetics ^np+++??+=Genetics
( ^zz++++=(LFDGV),
lfdgv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Center ^np+++??+=Center
of ^in++++=of
Agricultural ^jj+atrb+++=Agricultural
Sciences ^nns+nom+++=Sciences,
, ^zz++++=EXTRAWORD
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Santa ^&fw++++=Santa
Catarina ^np+++??+=Catarina
( ^zz++++=(CCA/UFSC),
cca ^nn+++??+=EXTRAWORD
florian ^np++++=Florian
polis ^nns++++=polis,
, ^zz++++=EXTRAWORD
santa ^&fw++++=Santa
catarina ^np++++=Catarina
state ^nn++++=State,
, ^zz++++=EXTRAWORD
brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
