According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Council ^nn++++=Council
of ^in++++=of
Science ^nn+nom+++=Science
Editors ^nns++++=Editors
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
World ^nn++++=World
Association ^nn+nom+++=Association
of ^in++++=of
Medical ^jj+atrb+++=Medical
Editors ^nns++++=Editors
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
International ^jj+atrb+++=International
Committee ^nn+nom+++=Committee
of ^in++++=of
Medical ^jj+atrb+++=Medical
Journal ^nn++++=Journal
Editors ^nns++++=Editors
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
editorial ^jj+atrb+++=editorial
decisions ^nns++++=decisions
should ^md+nec+++=should
be ^vb+be+aux++=be
based ^vpsv++agls+xvbnx+=based
exclusively ^rb++++=exclusively
on ^in++++=on
the ^ati++++=the
validity ^nn+nom+++=validity
of ^in++++=of
the ^ati++++=the
work ^nn++++=work
and ^cc++++=and
its ^pp$+it+++=its
relevance ^nn+nom+++=relevance
to ^in++++=to
readers ^nns+nom+++=readers,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
on ^in++++=on
any ^dti++++=any
competing ^jj+atrb++xvbg+=competing
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
editors ^nns++++=editors
or ^cc++++=or
the ^ati++++=the
commercial ^jj+atrb+++=commercial
interests ^nns++++=interests
of ^in++++=of
the ^ati++++=the
journal ^nn++++=journal
owners ^nns++++=owners.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
issue ^nn++++=issue
can ^md+pos+++=can
be ^vb+be+aux++=be
particularly ^rb++splt++=particularly
pronounced ^vpsv++agls+xvbnx+=pronounced
in ^in++++=in
journals ^nns+nom+++=journals
owned ^vwbn+++xvbn+=owned
by ^in++++=by
universities ^nns+nom+++=universities
or ^cc++++=or
other ^ap++++=other
research ^nn++++=research
institutions ^nns+nom+++=institutions,
, ^zz++++=EXTRAWORD
as ^ql++++=as
editors ^nns++++=editors
may ^md+pos+++=may
share ^vb++++=share
the ^ati++++=the
same ^ap++++=same
competing ^jj+atrb++xvbg+=competing
interests ^nns++++=interests
as ^in++++=as
the ^ati++++=the
journal ^nn++++=journal
owners ^nns++++=owners.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scope ^nn++++=scope
of ^in++++=of
such ^abl++++=such
journals ^nns+nom+++=journals
often ^rb++++=often
closely ^rb++++=closely
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
research ^nn++++=research
activities ^nns+nom+++=activities
of ^in++++=of
the ^ati++++=the
parent ^nn++++=parent
organization ^nn+nom+++=organization,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
common ^jj+pred+++=common
for ^in++++=for
editors ^nns++++=editors,
, ^zz++++=EXTRAWORD
reviewers ^nns+nom+++=reviewers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
authors ^nns++++=authors
to ^to++++=to
be ^vbi+vbi+aux++=be
affiliated ^vpsv++agls+xvbnx+=affiliated
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
institution ^nn+nom+++=institution.
. ^zz++++=EXTRAWORD
As ^in++++=As
discussed ^nn++++=discussed
by ^in++++=by
Barradas ^np+++??+=Barradas
and ^cc++++=and
Pinheiro ^np+++??+=Pinheiro
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
endogeneity ^nn+nom+++=endogeneity
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
introduce ^vbi++++=introduce
bias ^nn++++=bias
into ^in++++=into
the ^ati++++=the
peer ^nn++++=peer
review ^nn++++=review
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
greater ^jjr+atrb+++=greater
leniency ^nn+++??+=leniency
and ^cc++++=and
reduced ^jj+atrb++xvbn+=reduced
diversity ^nn+nom+++=diversity
of ^in++++=of
perspectives ^nns++++=perspectives,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
ultimately ^rb++++=ultimately
compromise ^nn++++=compromise
the ^ati++++=the
journal ^nn++++=journal
s ^zz++++=s
contribution ^nn+nom+++=contribution
to ^in++++=to
the ^ati++++=the
scientific ^jj+atrb+++=scientific
record ^nn++++=record;
; ^zz++++=EXTRAWORD
see ^vb+vprv+++=see
also ^rb++++=also
sarig ^np++++=Sarig
l ^zz++++=l
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017).
2017 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
