Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
phalloid ^nn+++??+=phalloid
morphology ^nn++++=morphology,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
calyptra ^nn+++??+=calyptra
at ^rb++++=at
the ^ati++++=the
apex ^nn++++=apex
of ^in++++=of
the ^ati++++=the
receptacle ^nn+++??+=receptacle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pinkish ^jj+atrb+++=pinkish
pseudostipe ^nn++++=pseudostipe
( ^zz++++=(Ottoni
ottoni ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
