Although ^cs+con+++=Although
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
respondents ^nns++++=respondents
was ^vbd+bedz+vrb++=was
lower ^jjr+pred+++=lower
than ^in++++=than
initially ^rb+tm+++=initially
intended ^vbd+vsua++xvbn+=intended
( ^zz++++=(26),
26 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
sample ^nn++++=sample
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
sufficiently ^rb++++=sufficiently
representative ^jj++++=representative
for ^in++++=for
the ^ati++++=the
exploratory ^jj+atrb+++=exploratory
aims ^nns++++=aims
of ^in++++=of
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
responses ^nns++++=responses
serves ^vbz++++=serves
to ^in++++=to
complement ^nn+nom+++=complement
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
discussion ^nn++++=discussion.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
questionnaires ^nns++++=questionnaires
are ^vb+ber+vrb++=are
comprehensive ^jj+pred+++=comprehensive
and ^cc++++=and
provide ^vb+vsua+++=provide
data ^nns++++=data
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
suitable ^jj+pred+++=suitable
for ^in++++=for
analysis ^nn++++=analysis
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
the ^ati++++=the
main ^jjb++++=main
objective ^jj++++=objective
of ^in++++=of
this ^dt+dem+++=this
article ^nn++++=article.
. ^zz++++=EXTRAWORD
