Only ^rb+down+++=Only
data ^nns++++=data
from ^in++++=from
dry ^jj++++=dry-preserved
- ^zz++++=EXTRAWORD
preserved ^vbd+++xvbn+=EXTRAWORD
male ^jj++++=male
and ^cc++++=and
female ^nn++++=female
culicids ^nns+++??+=culicids
mounted ^vbd+++xvbn+=mounted
with ^in++++=with
entomological ^jj+atrb+++=entomological
pins ^nns++++=pins
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
dataset ^nn+++??+=dataset.
. ^zz++++=EXTRAWORD
Information ^nn+nom+++=Information
for ^in++++=for
each ^dt++++=each
specimen ^nn++++=specimen
was ^vbd+bedz+aux++=was
recorded ^vpsv++agls+xvbnx+=recorded
in ^in++++=in
a ^at++++=a
spreadsheet ^nn+++??+=spreadsheet
using ^vwbg+++xvbg+=using
Microsoft ^np+++??+=Microsoft
Office ^nn++++=Office
v ^zz++++=v.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016
( ^zz++++=(Microsoft
microsoft ^nn+++??+=EXTRAWORD
Corporation ^nn+nom+++=Corporation,
, ^zz++++=EXTRAWORD
Redmond ^np+++??+=Redmond,
, ^zz++++=EXTRAWORD
Wa ^np+++??+=WA,
, ^zz++++=EXTRAWORD
Usa ^np++++=USA)
) ^zz++++=EXTRAWORD
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
transferred ^vpsv++agls+xvbn+=transferred
to ^in++++=to
a ^at++++=a
darwin ^np++++=Darwin
core ^nn++++=Core-compliant
- ^zz++++=EXTRAWORD
compliant ^nn+nom+++=EXTRAWORD
spreadsheet ^nn++++=spreadsheet.
. ^zz++++=EXTRAWORD
