Gallacher ^np+nom++??+=Gallacher
and ^cc++++=and
Hossain ^np+++??+=Hossain
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf++tht0+xvbn+=found
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
Canada ^np++++=Canada,
, ^zz++++=EXTRAWORD
41 ^cd++++=41%
% ^zz++++=EXTRAWORD
of ^in++++=of
jobs ^nns++++=jobs
could ^md+pos+++=could
be ^vb+be+aux++=be
performed ^vpsv++agls+xvbnx+=performed
remotely ^rb++++=remotely.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
with ^in++++=with
a ^at++++=a
lower ^jjr+atrb+++=lower
likelihood ^nn+nom+++=likelihood
of ^in++++=of
engaging ^nn++++=engaging
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
were ^vbd+bed+vrb++=were
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
poorer ^jjr+pred+++=poorer,
, ^zz++++=EXTRAWORD
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-immigrant,
- ^zz++++=EXTRAWORD
immigrant ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
single ^jj++++=single,
, ^zz++++=EXTRAWORD
male ^jj++++=male,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and/or
lacking ^vbg+++xvbg+=lacking
a ^at++++=a
college ^nn++++=college
education ^nn+nom+++=education.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
were ^vbd+bed+aux++=were
more ^rbr++splt++=more
frequently ^rb++++=frequently
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
in ^in++++=in
small ^jj+atrb+++=small
firms ^nns++++=firms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
positions ^nns+nom+++=positions
characterized ^jj++++=characterized
as ^ql++++=as
seasonal ^jj++++=seasonal,
, ^zz++++=EXTRAWORD
contractual ^jj++++=contractual,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
part ^nn++++=part-time.
- ^zz++++=EXTRAWORD
time. ^nn++++=EXTRAWORD
