Taking ^vbg+++xvbg+=Taking
these ^dt+dem+++=these
considerations ^nns+nom+++=considerations
into ^in++++=into
account ^nn++++=account,
, ^zz++++=EXTRAWORD
the ^ati++++=the
workshop ^nn++++=workshop
was ^vbd+bedz+aux++=was
organized ^vpsv++agls+xvbnx+=organized
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
selected ^xvbn+++xvbn+=selected
guidelines ^nns++++=guidelines
established ^vpsv++by+xvbn+=established
by ^in++++=by
the ^ati++++=the
gpb ^np++++=GPB
community ^nn+nom+++=community,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically:
: ^zz++++=EXTRAWORD
