Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
large ^jj+atrb+++=large
fruiting ^jj+atrb++xvbg+=fruiting
bodies ^nns++++=bodies
measuring ^vwbg+++xvbg+=measuring
3 ^zz++++=3
8 ^zz++++=8
cm ^nnu++++=cm
in ^in++++=in
height ^nn++++=height,
, ^zz++++=EXTRAWORD
a ^at++++=a
white ^jj+atrb+++=white
pseudostipe ^nn+++??+=pseudostipe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
hemispherical ^jj+atrb+++=hemispherical
receptacle ^nn+++??+=receptacle
with ^in++++=with
a ^at++++=a
flat ^jj+atrb+++=flat
apex ^nn++++=apex
that ^tht+rel+subj++=that
resembles ^vbz++++=resembles
a ^at++++=a
wig ^nn++++=wig.
. ^zz++++=EXTRAWORD
The ^ati++++=The
apex ^nn++++=apex
is ^vbz+bez+aux++=is
covered ^vpsv++by+xvbnx+=covered
by ^in++++=by
a ^at++++=a
calyptra ^nn+++??+=calyptra,
, ^zz++++=EXTRAWORD
a ^at++++=a
membranous ^jj+atrb+++=membranous
cap ^nn++++=cap
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
