Although ^cs+con+++=Although
several ^ap++++=several
studies ^nns++++=studies
have ^vb+hv+aux++=have
addressed ^vprf+++xvbnx+=addressed
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
and ^cc++++=and
recent ^jj+atrb+++=recent
warnings ^nns++++=warnings
have ^vb+hv+aux++=have
highlighted ^vprf+++xvbnx+=highlighted
its ^pp$+it+++=its
ecological ^jj+atrb+++=ecological
impacts ^nns+++??+=impacts,
, ^zz++++=EXTRAWORD
research ^nn++++=research
specifically ^rb++++=specifically
focused ^vbd+++xvbn+=focused
on ^in++++=on
arthropods ^nns+++??+=arthropods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spiders ^nns+nom+++=spiders
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
remains ^vbz++++=remains
limited ^vbd+++xvbn+=limited.
. ^zz++++=EXTRAWORD
Spiders ^nns+nom++??+=Spiders
represent ^vb++++=represent
a ^at++++=a
highly ^rb+amp+++=highly
diverse ^jj+atrb+++=diverse
taxonomic ^nn++++=taxonomic
group ^nn++++=group
with ^in++++=with
adaptations ^nns+nom+++=adaptations
that ^tht+rel+subj++=that
enable ^vb++++=enable
them ^pp3o+pp3+++=them
to ^to++++=to
inhabit ^vbi++++=inhabit
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
environments ^nns+nom+++=environments
( ^zz++++=(World
world ^nn++++=EXTRAWORD
Spider ^nn++++=Spider
Catalog ^np+++??+=Catalog
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
into ^in++++=into
guilds ^nns++++=guilds
based ^vwbn+++xvbn+=based
on ^in++++=on
habitat ^nn++++=habitat
preferences ^nns+nom+++=preferences
and ^cc++++=and
foraging ^jj+atrb++xvbg+=foraging
strategies ^nns+++??+=strategies
( ^zz++++=(Uetz
uetz ^nn+++??+=EXTRAWORD
1977 ^cd+date+++=1977;
; ^zz++++=EXTRAWORD
Cardoso ^np+++??+=Cardoso
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
effective ^jj+atrb+++=effective
biological ^jj+atrb+++=biological
control ^nn++++=control
agents ^nns++++=agents
of ^in++++=of
pest ^nn++++=pest
populations ^nns+nom+++=populations
( ^zz++++=(Aguilar
aguilar ^nn+++??+=EXTRAWORD
1988 ^cd+date+++=1988;
; ^zz++++=EXTRAWORD
Fl ^np+++??+=Fl
rez ^nn+++??+=rez
2000 ^cd++++=2000),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
interact ^vb+++??+=interact
indirectly ^rb++++=indirectly
with ^in++++=with
invasive ^jj+atrb+++=invasive
plants ^nns++++=plants.
. ^zz++++=EXTRAWORD
Alterations ^nns+nom+++=Alterations
in ^in++++=in
spider ^nn++++=spider
assemblages ^nns+nom+++=assemblages
can ^md+pos+++=can
consequently ^rb+cnj+splt++=consequently
affect ^vb++++=affect
the ^ati++++=the
broader ^jjr+atrb+++=broader
arthropod ^nn+++??+=arthropod
community ^nn+nom+++=community
structure ^nn++++=structure
( ^zz++++=(Mgobozi
mgobozi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Bultman ^np+++??+=Bultman
and ^cc++++=and
Dewitt ^np+++??+=DeWitt
( ^zz++++=(2008),
2008 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
invasive ^jj+atrb+++=invasive
alien ^jj+atrb+++=alien
species ^nns++++=species
Vinca ^np+++??+=Vinca
minor ^jj++++=minor
L ^zz++++=L.
. ^zz++++=EXTRAWORD
( ^zz++++=(Apocynaceae)
apocynaceae ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
shown ^vpsv++agls+xvbnx+=shown
to ^to+vcmp+++=to
influence ^nn+nom+++=influence
the ^ati++++=the
mobility ^nn+nom+++=mobility
of ^in++++=of
native ^jj+atrb+++=native
spiders ^nns+nom+++=spiders,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
reduced ^jj+atrb+++=reduced
abundance ^nn+nom+++=abundance.
. ^zz++++=EXTRAWORD
