Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
whitish ^jj+atrb+++=whitish
pseudostipe ^nn+++??+=pseudostipe,
, ^zz++++=EXTRAWORD
a ^at++++=a
reticulate ^nn+nom+++=reticulate
white ^jj+atrb+++=white
receptacle ^nn+++??+=receptacle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
elongated ^jj+atrb++xvbn+=elongated
white ^jj+atrb+++=white
indusium ^nn+++??+=indusium.
. ^zz++++=EXTRAWORD
Mycelial ^np+++??+=Mycelial
strands ^nns++++=strands
are ^vb+ber+vrb++=are
frequently ^rb++++=frequently
abundant ^jj+pred+++=abundant
and ^cc++++=and
exhibit ^vb++++=exhibit
purplish ^jj+atrb+++=purplish
pigmentation ^nn+nom+++=pigmentation
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
