Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
small ^jj+atrb+++=small
receptacle ^nn+++??+=receptacle,
, ^zz++++=EXTRAWORD
typically ^rb++++=typically
measuring ^nvbg+++xvbg+=measuring
5 ^zz++++=5
cm ^nnu++++=cm
or ^cc++++=or
less ^rbr++++=less
in ^in++++=in
diameter ^nn+nom+++=diameter,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
some ^dti++++=some
specimens ^nns++++=specimens
may ^md+pos+++=may
reach ^vb++++=reach
up ^rp++++=up
to ^to++++=to
15 ^cd++++=15
cm ^nnu++++=cm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
receptacle ^nn+++??+=receptacle
is ^vbz+bez+vrb++=is
globose ^nn+++??+=globose
to ^in++++=to
subglobose ^nn+++??+=subglobose
in ^in++++=in
shape ^nn++++=shape
and ^cc++++=and
exhibits ^nns++++=exhibits
a ^at++++=a
reddish ^jj+atrb+++=reddish
coloration ^nn+nom+++=coloration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surface ^nn++++=surface
displays ^nns++++=displays
relatively ^rb++++=relatively
regular ^jj+atrb+++=regular
meshes ^nns+++??+=meshes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
generally ^rb+down+++=generally
round ^in++++=round
at ^rb++++=at
the ^ati++++=the
apex ^nn++++=apex
and ^cc++++=and
become ^vb++++=become
more ^rbr++++=more
elongated ^vbd+++xvbn+=elongated
toward ^in++++=toward
the ^ati++++=the
base ^nn++++=base.
. ^zz++++=EXTRAWORD
A ^at++++=A
corrugated ^jj+atrb+++=corrugated
and ^cc+phrs+++=and
folded ^jj+atrb++xvbn+=folded
membrane ^nn++++=membrane
surrounds ^vbz++++=surrounds
the ^ati++++=the
meshes ^nns+++??+=meshes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
membrane ^nn++++=membrane
contains ^vbz++++=contains
the ^ati++++=the
gleba ^nn++++=gleba
( ^zz++++=(Dring
dring ^jj++++=EXTRAWORD
1980 ^cd+date+++=1980).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
