Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
Cortez ^np+++??+=Cortez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2013)
2013 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
regard ^nn++++=regard
this ^dt+pdem+++=this
species ^vbz++++=species
as ^ql++++=as
a ^at++++=a
potential ^jj+atrb+++=potential
synonym ^nn++++=synonym
of ^in++++=of
Lycoperdon ^np+++??+=Lycoperdon
perlatum ^nn+++??+=perlatum,
, ^zz++++=EXTRAWORD
a ^at++++=a
highly ^rb+amp+++=highly
variable ^jj+atrb+++=variable
species ^nns++++=species
distinguished ^vwbn+++xvbn+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
spines ^nns++++=spines
on ^in++++=on
the ^ati++++=the
conical ^jj+atrb+++=conical
exoperidium ^nn++++=exoperidium,
, ^zz++++=EXTRAWORD
each ^dt++++=each
with ^in++++=with
a ^at++++=a
rounded ^jj+atrb+++=rounded
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
