While ^cs+sub+++=While
students ^nns++++=students
often ^rb++++=often
identify ^vb++++=identify
having ^vbg+hvg++xvbg+=having
a ^at++++=a
good ^jj+atrb+++=good
advisor ^nn++++=advisor
as ^in++++=as
the ^ati++++=the
most ^ql+emph+++=most
positive ^jj+atrb+++=positive
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
Usr ^np+++??+=USR
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
the ^ati++++=the
converse ^nn++++=converse
is ^vbz+bez+vrb++=is
also ^rb++++=also
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
with ^in++++=with
negative ^jj+atrb+++=negative
experiences ^nns+nom+++=experiences
frequently ^rb++++=frequently
attributed ^vbd+++xvbn+=attributed
to ^in++++=to
poor ^jj+atrb+++=poor
advising ^nvbg+++xvbg+=advising.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
supports ^vbz++++=supports
the ^ati++++=the
argument ^nn+nom+++=argument
that ^tht+vcmp+++=that
mimetic ^jj++++=mimetic
experiences ^nns+nom+++=experiences
do ^vb+do+aux++=do
not ^xnot++not++=not
produce ^vb++++=produce
exact ^jj+atrb+++=exact
replicas ^nns+++??+=replicas
but ^cc++++=but
rather ^rb++++=rather
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
recognition ^nn+nom+++=recognition
of ^in++++=of
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
the ^ati++++=the
role ^nn++++=role
of ^in++++=of
Usr ^np+++??+=USR
in ^in++++=in
the ^ati++++=the
moral ^jj+atrb+++=moral
development ^nn+nom+++=development
of ^in++++=of
researchers ^nns+nom+++=researchers
should ^md+nec+++=should
not ^xnot++not++=not
be ^vb+be+aux++=be
assumed ^vpsv++agls+xvbnx+=assumed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
inherently ^rb++++=inherently
positive ^jj+pred+++=positive.
. ^zz++++=EXTRAWORD
Drawing ^nvbg+++xvbg+=Drawing
on ^in++++=on
Adorno ^np+++??+=Adorno
( ^zz++++=(1995),
1995 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
argued ^vpsv++agls+xvbnx+=argued
that ^tht+vcmp+++=that
some ^dti++++=some
individuals ^nns+nom+++=individuals
suppress ^nns+nom+++=suppress
their ^pp$+pp3+++=their
mimetic ^jj+atrb+++=mimetic
impulses ^nns++++=impulses
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
rationality ^nn+nom+++=rationality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
internalized ^jj++++=internalized
this ^dt+dem+++=this
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
feel ^vb+vprv+++=feel
justified ^vbd+++xvbn+=justified
in ^in++++=in
perpetuating ^xvbg+++xvbg+=perpetuating
similar ^jj+atrb+++=similar
forms ^nns++++=forms
of ^in++++=of
coercion ^nn++++=coercion
toward ^in++++=toward
others ^aps++++=others.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
tendency ^nn++++=tendency
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
increasing ^vbg+++xvbgx+=increasing
within ^in++++=within
the ^ati++++=the
academic ^jj+atrb+++=academic
environment ^nn+nom+++=environment,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
becoming ^vbg+++xvbgx+=becoming
more ^rbr++++=more
competitive ^jj++++=competitive
and ^cc++++=and,
, ^zz++++=EXTRAWORD
arguably ^rb+cnj+++=arguably,
, ^zz++++=EXTRAWORD
detrimental ^jj++++=detrimental
to ^to++++=to
well ^rb++++=well-being,
- ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
reflected ^nn++++=reflected
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
responses ^nns++++=responses
to ^in++++=to
the ^ati++++=the
question ^nn+nom+++=question
regarding ^in++++=regarding
the ^ati++++=the
least ^ql++++=least
favorable ^&fw++++=favorable
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
usr ^np++++=USR
experience ^nn+nom+++=experience:
: ^zz++++=EXTRAWORD
