Pioneering ^nn++++=Pioneering
economists ^nns+nom+++=economists
in ^in++++=in
the ^ati++++=the
field ^nn++++=field
of ^in++++=of
New ^jj+atrb+++=New
Urban ^jj+atrb+++=Urban
Economics ^nn++++=Economics
developed ^vbd+++xvbn+=developed
a ^at++++=a
theoretical ^jj+atrb+++=theoretical
model ^nn++++=model
in ^in++++=in
which ^whp+rel+pied++=which
employment ^nn+nom+++=employment
opportunities ^nns+nom+++=opportunities
are ^vb+ber+aux++=are
concentrated ^vpsv++agls+xvbnx+=concentrated
in ^in++++=in
the ^ati++++=the
Central ^jj+atrb+++=Central
Business ^nns+nom+++=Business
District ^nn++++=District
( ^zz++++=(CBD),
cbd ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
monocentric ^jj+atrb+++=monocentric
city ^nn++++=city
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
central ^jj+atrb+++=central
assumption ^nn+nom+++=assumption
is ^vbz+bez+aux++=is
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
the ^ati++++=the
historical ^jj+atrb+++=historical
tendency ^nn++++=tendency
for ^in++++=for
city ^nn++++=city
centers ^nns+nom+++=centers
to ^to++++=to
develop ^vbi++++=develop
around ^rp++++=around
a ^at++++=a
primary ^jj+atrb+++=primary
transportation ^nn+nom+++=transportation
node ^nn+++??+=node.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
monocentric ^jj+atrb+++=monocentric
models ^nns++++=models
posit ^nn+++??+=posit
that ^tht+rel+obj++=that
the ^ati++++=the
Cbd ^np+++??+=CBD
functions ^nns+nom+++=functions
as ^in++++=as
a ^at++++=a
price ^nn++++=price
anchor ^nn++++=anchor,
, ^zz++++=EXTRAWORD
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
city ^nn++++=city
center ^jjr++++=center
exerting ^jj+++xvbg+=exerting
a ^at++++=a
negative ^jj+atrb+++=negative
effect ^nn++++=effect
on ^in++++=on
various ^jj+atrb+++=various
price ^nn++++=price
vectors ^nns++++=vectors.
. ^zz++++=EXTRAWORD
As ^in++++=As
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
Cbd ^np+++??+=CBD
increases ^nns++++=increases,
, ^zz++++=EXTRAWORD
transportation ^nn+nom+++=transportation
costs ^nns++++=costs
also ^rb++++=also
rise ^nn++++=rise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
model ^nn++++=model
implies ^vbz+vprv+++=implies
that ^tht+vcmp+++=that
land ^nn++++=land
prices ^nns++++=prices
must ^md+nec+++=must
decrease ^vb++++=decrease
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
Cbd ^np+++??+=CBD
to ^to++++=to
maintain ^vbi+vpub+++=maintain
equilibrium ^nn++++=equilibrium
between ^in++++=between
firms ^nns++++=firms
and ^cc++++=and
households ^nns++++=households.
. ^zz++++=EXTRAWORD
In ^in++++=In
summary ^nn+nom+++=summary,
, ^zz++++=EXTRAWORD
the ^ati++++=the
model ^nn++++=model
predicts ^vbz+vpub+++=predicts
that ^tht+vcmp+++=that
endogenous ^jj+atrb+++=endogenous
variables ^nns++++=variables
such ^abl++++=such
as ^ql++++=as
population ^nn+nom+++=population
density ^nn+nom+++=density,
, ^zz++++=EXTRAWORD
lot ^nn++++=lot
size ^nn++++=size,
, ^zz++++=EXTRAWORD
land ^nn++++=land
price ^nn++++=price,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wage ^nn++++=wage
exhibit ^vb++++=exhibit
an ^at++++=an
inverse ^jj+atrb+++=inverse
spatial ^jj+atrb+++=spatial
gradient ^nn++++=gradient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
variables ^nns++++=variables
are ^vb+ber+aux++=are
modeled ^vpsv++agls+xvbnx+=modeled
as ^ql++++=as
simple ^jj+atrb+++=simple
functions ^nns+nom+++=functions
of ^in++++=of
their ^pp$+pp3+++=their
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
cbd ^np++++=CBD.
. ^zz++++=EXTRAWORD
