Content ^nn++++=Content
validity ^nn+nom+++=validity
was ^vbd+bedz+aux++=was
also ^rb++splt++=also
assessed ^vpsv++agls+xvbnx+=assessed,
, ^zz++++=EXTRAWORD
reflecting ^vbg+vprv++xvbg+=reflecting
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
abstract ^jj+atrb+++=abstract
concepts ^nns++++=concepts
are ^vb+ber+aux++=are
accurately ^rb++splt++=accurately
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
observable ^jj+atrb+++=observable
and ^cc+phrs+++=and
measurable ^jj+atrb+++=measurable
indicators ^nns++++=indicators
of ^in++++=of
the ^ati++++=the
construct ^nn++++=construct
under ^in++++=under
investigation ^nn+nom+++=investigation
( ^zz++++=(Wynd
wynd ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
form ^nn++++=form
of ^in++++=of
validity ^nn+nom+++=validity
evaluates ^nns+nom+++=evaluates
the ^ati++++=the
relevance ^nn+nom+++=relevance
and ^cc++++=and
representativeness ^nns+nom+++=representativeness
of ^in++++=of
each ^dt++++=each
scale ^nn++++=scale
item ^nn++++=item
in ^in++++=in
relation ^nn+nom+++=relation
to ^in++++=to
the ^ati++++=the
specific ^nn++++=specific
construct ^vb++++=construct
and ^cc++++=and
the ^ati++++=the
intended ^jj+atrb++xvbn+=intended
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
assessment ^nn+nom+++=assessment
( ^zz++++=(Haynes
haynes ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
content ^nn++++=content
validity ^nn+nom+++=validity
was ^vbd+bedz+aux++=was
examined ^vpsv++agls+xvbnx+=examined
through ^in++++=through
factor ^nn++++=factor
analysis ^nn++++=analysis
and ^cc++++=and
by ^in++++=by
an ^at++++=an
expert ^jj+atrb+++=expert
committee ^nn+nom+++=committee,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
s ^zz++++=s
authors ^nns++++=authors,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
a ^at++++=a
procedure ^nn++++=procedure
similar ^jj++++=similar
to ^in++++=to
that ^dt+dem+++=that
described ^vpsv++by+xvbn+=described
by ^in++++=by
toledo ^np++++=Toledo
junior ^jj++++=Junior
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018).
2018 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
