To ^in++++=To
address ^nns+nom+++=address
topics ^nns++++=topics
3 ^zz++++=3
and ^cc++++=and
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
concern ^nn++++=concern
application ^nn+nom+++=application
and ^cc++++=and
enrollment ^nn+nom+++=enrollment
in ^in++++=in
the ^ati++++=the
first ^od++++=first
year ^nn++++=year
of ^in++++=of
university ^npl+nom+++=university
programs ^nns+++??+=programs
related ^vbd+++xvbn+=related
to ^in++++=to
scientific ^jj++++=scientific
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
careers ^nns+nom+++=careers,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
analyzed ^vbd+++xvbn+=analyzed
the ^ati++++=the
official ^jj++++=official
annual ^jj++++=annual
reports ^vbz++++=reports
published ^vpsv++by+xvbn+=published
by ^in++++=by
the ^ati++++=the
National ^jj+atrb+++=National
Association ^nn+nom+++=Association
of ^in++++=of
Universities ^nns+nom+++=Universities
and ^cc++++=and
Higher ^jjr+atrb+++=Higher
Education ^nn+nom+++=Education
Institutions ^nns+nom+++=Institutions
In ^in++++=in
Mexico ^np++++=Mexico
 ^zz++++=(ANUIES)
Anuies ^np++++=EXTRAWORD
	 ^zz++++=EXTRAWORD
 ^zz++++=(13).
3 ^np++++=EXTRAWORD
	. ^nn++++=EXTRAWORD
