Peyote ^np+++??+=Peyote
is ^vbz+bez+vrb++=is
a ^at++++=a
cactus ^nns+++??+=cactus
species ^nns++++=species
indigenous ^jj++++=indigenous
to ^in++++=to
the ^ati++++=the
arid ^jj+atrb+++=arid
regions ^nns++++=regions
of ^in++++=of
Mexico ^np++++=Mexico
and ^cc++++=and
the ^ati++++=the
southern ^jj+atrb+++=southern
United ^np++++=United
States ^nns++++=States.
. ^zz++++=EXTRAWORD
The ^ati++++=The
term ^nn++++=term
" ^zz++++="peyote"
peyote ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
encompasses ^vbz++++=encompasses
two ^cd++++=two
species ^nn++++=species:
: ^zz++++=EXTRAWORD
Lophophora ^np+++??+=Lophophora
williamsii ^nn+++??+=williamsii
and ^cc++++=and
Lophophora ^np+++??+=Lophophora
diffusa ^nn+++??+=diffusa.
. ^zz++++=EXTRAWORD
Lophophora ^np+++??+=Lophophora
williamsii ^nn+++??+=williamsii
primarily ^rb+down+++=primarily
produces ^vbz++++=produces
the ^ati++++=the
alkaloid ^nn+++??+=alkaloid
mescaline ^nn+++??+=mescaline,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Lophophora ^np+++??+=Lophophora
diffusa ^nn+++??+=diffusa
predominantly ^rb++++=predominantly
synthesizes ^vbz++++=synthesizes
pellotine ^nn+++??+=pellotine.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
mescaline ^nn+++??+=mescaline
and ^cc++++=and
pellotine ^nn+++??+=pellotine
are ^vb+ber+vrb++=are
psychoactive ^jj+atrb+++=psychoactive
alkaloids ^nns+++??+=alkaloids,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
psychotropic ^jj+atrb+++=psychotropic
effects ^nns++++=effects
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
comparable ^jj+pred+++=comparable
to ^in++++=to
those ^dt+dem+++=those
of ^in++++=of
lysergic ^jj++++=lysergic
acid ^jj++++=acid.
. ^zz++++=EXTRAWORD
