All ^abn++++=All
scientific ^jj+atrb+++=scientific
articles ^nns++++=articles
and ^cc++++=and
books ^nns++++=books
were ^vbd+bed+aux++=were
reviewed ^vpsv++agls+xvbnx+=reviewed
to ^to++++=to
extract ^vbi++++=extract
data ^nns++++=data
corresponding ^vwbg+++xvbg+=corresponding
to ^to++++=to
32 ^cd++++=32
standardized ^jj+atrb++xvbn+=standardized
variables ^nns++++=variables
defined ^vwbn+++xvbn+=defined
by ^in++++=by
Darwin ^np++++=Darwin
Core ^nn++++=Core
Terms ^nns++++=Terms
( ^zz++++=(Darwin
darwin ^np++++=EXTRAWORD
Core ^nn++++=Core,
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022)
) ^zz++++=EXTRAWORD
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
variables ^nns++++=variables
were ^vbd+bed+aux++=were
categorized ^vpsv++agls+xvbnx+=categorized
into ^in++++=into
four ^cd++++=four
groups ^nns++++=groups
to ^to++++=to
facilitate ^nn+nom+++=facilitate
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
the ^ati++++=the
dataset ^nn+++??+=dataset,
, ^zz++++=EXTRAWORD
description ^nn+nom+++=description
of ^in++++=of
essential ^jj+atrb+++=essential
information ^nn+nom+++=information
regarding ^in++++=regarding
specimen ^nn++++=specimen
condition ^nn+nom+++=condition
and ^cc++++=and
quantity ^nn+nom+++=quantity,
, ^zz++++=EXTRAWORD
documentation ^nn+nom+++=documentation
of ^in++++=of
capture ^nn++++=capture
location ^nn+nom+++=location
and ^cc++++=and
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
determination ^nn+nom+++=determination
of ^in++++=of
the ^ati++++=the
taxonomic ^jj+atrb+++=taxonomic
status ^nn++++=status
for ^in++++=for
each ^dt++++=each
observation ^nn+nom+++=observation
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
