As ^in++++=As
of ^in"++++=of
mid ^jjb++++=mid-2021,
- ^zz++++=EXTRAWORD
2021 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
91 ^cd++++=91%
% ^zz++++=EXTRAWORD
of ^in++++=of
14to ^cd++++=14to
19 ^cd++++=19-year-old
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
old ^jj+atrb+++=EXTRAWORD
respondents ^nns++++=respondents
to ^in++++=to
the ^ati++++=the
anonymous ^jj+atrb+++=anonymous
questionnaire ^nn++++=questionnaire
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
favorable ^&fw++++=favorable
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
with ^in++++=with
" ^zz++++="knowledge"
knowledge ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
the ^ati++++=the
most ^ql+emph+++=most
frequently ^rb++++=frequently
associated ^jj+atrb++xvbn+=associated
term ^nn++++=term.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
70 ^cd++++=70%
% ^zz++++=EXTRAWORD
of ^in++++=of
adolescents ^nns++++=adolescents
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
experience ^nn+nom+++=experience
during ^in++++=during
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^jj++++=pandemic
improved ^jj+++xvbn+=improved
their ^pp$+pp3+++=their
opinion ^nn++++=opinion
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
only ^rb+down+++=only
8 ^zz++++=8%
% ^zz++++=EXTRAWORD
and ^cc++++=and
4 ^zz++++=4%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
a ^at++++=a
worsened ^jj+atrb++xvbn+=worsened
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science
and ^cc++++=and
of ^in++++=of
scientists ^nns+nom+++=scientists
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
a ^at++++=a
greater ^jjr+atrb+++=greater
proportion ^nn+nom+++=proportion
of ^in++++=of
adolescents ^nns++++=adolescents
reported ^vbd+vpub++xvbn+=reported
an ^at++++=an
improved ^jj+atrb++xvbn+=improved
perception ^nn+nom+++=perception
of ^in++++=of
both ^abx++++=both
scientists ^nns+nom+++=scientists
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers
as ^in++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
pandemic ^jj++++=pandemic
( ^zz++++=(58%)
58 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
reported ^vbd+vpub++xvbn+=reported
a ^at++++=a
worsened ^vbd+++xvbn+=worsened
perception ^nn+nom+++=perception
of ^in++++=of
both ^abx++++=both
groups ^nns++++=groups
( ^zz++++=(1%).
1% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
