Two ^cd++++=Two
preserved ^jj+atrb++xvbn+=preserved
sand ^nn++++=sand
fly ^nn++++=fly
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
dataset ^nn+++??+=dataset;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
insects ^nns++++=insects
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
Cdc ^np+++??+=CDC/Shannon
traps ^nns++++=traps.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
screened ^vpsv++agls+xvbnx+=screened,
, ^zz++++=EXTRAWORD
separated ^j+++xvbn+=separated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accurately ^rb++++=accurately
identified ^vbd+++xvbn+=identified
along ^in++++=along
with ^in"++++=with
their ^pp$+pp3+++=their
respective ^jj+atrb+++=respective
capture ^nn++++=capture
locations ^nns+nom+++=locations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clarification ^nn+nom+++=clarification
of ^in++++=of
the ^ati++++=the
insects ^nns++++=insects
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
method ^nn++++=method
described ^vwbn+++xvbn+=described
by ^in++++=by
Forattini ^np+++??+=Forattini
( ^zz++++=(1973)
1973 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[23].
23 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^in++++=After
clarification ^nn+nom+++=clarification,
, ^zz++++=EXTRAWORD
the ^ati++++=the
specimens ^nns++++=specimens
were ^vbd+bed+aux++=were
mounted ^vpsv++agls+xvbnx+=mounted
between ^in++++=between
a ^at++++=a
slide ^nn++++=slide
and ^cc++++=and
cover ^nn++++=cover
slip ^vb++++=slip
in ^in++++=in
Enece ^np+++??+=Enece
medium ^nn++++=medium
( ^zz++++=(Cerqueira,
cerqueira ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1943 ^cd+date+++=1943)
) ^zz++++=EXTRAWORD
[ ^zz++++=[24]
24 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
and ^cc++++=and
identified ^vpsv++agls+xvbn+=identified
following ^jj++++=following
the ^ati++++=the
criteria ^nns++++=criteria
established ^jj++++=established
by ^in++++=by
galati ^np++++=Galati
[ ^zz++++=[2].
2 ^zz++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
