According ^in+cmpx+++=According
to ^in++++=to
Benjamin ^np+++??+=Benjamin
( ^zz++++=(as
as ^in++++=EXTRAWORD
cited ^nn++++=cited
in ^in++++=in
Buck ^nn++++=Buck-Morss,
- ^zz++++=EXTRAWORD
morss ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1995 ^cd+date+++=1995,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
290 ^cd++++=290),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
decline ^nn++++=decline
of ^in++++=of
mimetic ^jj+atrb+++=mimetic
ability ^nn+nom+++=ability
in ^in++++=in
adulthood ^nn+nom+++=adulthood
is ^vbz+bez+aux++=is
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
perceive ^vbi+vprv+++=perceive
non ^&fw++++=non-sensory
- ^zz++++=EXTRAWORD
sensory ^jj+atrb+++=EXTRAWORD
similarities ^nns+nom+++=similarities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
those ^dt+dem+++=those
lacking ^jj+++xvbg+=lacking
a ^at++++=a
rational ^jj++++=rational,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
scientific ^jj++++=scientific,
, ^zz++++=EXTRAWORD
basis ^nn++++=basis.
. ^zz++++=EXTRAWORD
Benjamin ^np+++??+=Benjamin
( ^zz++++=(as
as ^in++++=EXTRAWORD
cited ^nn++++=cited
in ^in++++=in
Lavelle ^np+++??+=Lavelle,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
82 ^cd++++=82)
) ^zz++++=EXTRAWORD
discusses ^vbz++++=discusses
certain ^jj+atrb+++=certain
mimetic ^nn++++=mimetic
practices ^nns++++=practices
characteristic ^nn++++=characteristic
of ^in++++=of
children ^nns++++=children's
's ^$++++=EXTRAWORD
play ^nn++++=play,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
these ^dt+dem+++=these
practices ^nns++++=practices
once ^cs+tm+++=once
formed ^vprf+++xvbn+=formed
the ^ati++++=the
foundation ^nn+nom+++=foundation
of ^in++++=of
a ^at++++=a
magical ^jj+atrb+++=magical
worldview ^nn+++??+=worldview.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
establishes ^vbz+vprv+++=establishes
a ^at++++=a
parallel ^nn++++=parallel
between ^in++++=between
the ^ati++++=the
historical ^jj+atrb+++=historical
devaluation ^nn+nom+++=devaluation
of ^in++++=of
mimetic ^jj+atrb+++=mimetic
behavior ^nn++++=behavior
marked ^vwbn+++xvbn+=marked
by ^in++++=by
its ^pp$+it+++=its
replacement ^nn+nom+++=replacement
with ^in++++=with
the ^ati++++=the
inductive ^jj++++=inductive
reasoning ^jj+++xvbg+=reasoning
central ^jj++++=central
to ^in++++=to
modern ^jj+atrb+++=modern
science ^nn+nom+++=science
and ^cc++++=and
its ^pp$+it+++=its
decline ^nn++++=decline
within ^in++++=within
the ^ati++++=the
individual ^nn+nom+++=individual,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
evident ^jj++++=evident
in ^in++++=in
the ^ati++++=the
diminished ^jj+atrb++xvbn+=diminished
imaginative ^jj+atrb+++=imaginative
capacity ^nn+nom+++=capacity
observed ^vbd+vprv++xvbn+=observed
as ^ql++++=as
children ^nns++++=children
mature ^jj++++=mature.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
Benjamin ^np+++??+=Benjamin
identifies ^vbz++++=identifies
the ^ati++++=the
school ^nn++++=school
as ^ql++++=as
a ^at++++=a
primary ^jj+atrb+++=primary
agent ^nn++++=agent
in ^in++++=in
suppressing ^xvbg+++xvbg+=suppressing
the ^ati++++=the
mimetic ^jj+atrb+++=mimetic
impulse ^nn++++=impulse
in ^in++++=in
children ^nns++++=children
( ^zz++++=(Schlesener,
schlesener ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
