Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
large ^jj+atrb+++=large
basidiomata ^nn+++??+=basidiomata,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
reach ^vb++++=reach
up ^rp++++=up
to ^to++++=to
8 ^zz++++=8
cm ^nnu++++=cm
in ^in++++=in
diameter ^nn+nom+++=diameter,
, ^zz++++=EXTRAWORD
involute ^nn+++??+=involute
lacinias ^nns+++??+=lacinias,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-hygroscopic
- ^zz++++=EXTRAWORD
hygroscopic ^jj+atrb+++=EXTRAWORD
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
prominent ^jj+atrb+++=prominent,
, ^zz++++=EXTRAWORD
conspicuous ^jj+atrb+++=conspicuous
collar ^nn++++=collar
around ^in++++=around
the ^ati++++=the
endoperidium ^nn++++=endoperidium
derived ^vbd+++xvbn+=derived
from ^in++++=from
the ^ati++++=the
pseudoparenchymal ^jj+atrb+++=pseudoparenchymal
layer ^nn++++=layer
of ^in++++=of
the ^ati++++=the
exoperidium ^nn+++??+=exoperidium.
. ^zz++++=EXTRAWORD
Additional ^jj+atrb+++=Additional
diagnostic ^nn++++=diagnostic
features ^nns++++=features
include ^vb++++=include
a ^at++++=a
sessile ^nn+++??+=sessile
endoperidium ^nn+++??+=endoperidium
and ^cc++++=and
a ^at++++=a
fibrous ^jj+atrb+++=fibrous
peristoma ^nn+++??+=peristoma
that ^tht+rel+obj++=that
may ^md+pos+++=may
be ^vb+be+vrb++=be
either ^dtx++++=either
delimited ^jj+++xvbn+=delimited
or ^cc+phrs+++=or
unbounded ^jj++++=unbounded
( ^zz++++=(Campi
campi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Recent ^jj+atrb+++=Recent
phylogenetic ^jj+atrb+++=phylogenetic
analyses ^nns++++=analyses
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
current ^jj+atrb+++=current
morphological ^jj+atrb+++=morphological
concept ^nn++++=concept
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
encompasses ^vbz++++=encompasses
a ^at++++=a
complex ^nn++++=complex
of ^in++++=of
closely ^rb++++=closely
related ^vbd+++xvbn+=related
taxa ^nn+++??+=taxa
that ^tht+rel+subj++=that
differ ^vb++++=differ
in ^in++++=in
their ^pp$+pp3+++=their
distribution ^nn+nom+++=distribution
patterns ^nns++++=patterns
( ^zz++++=(Kasuya
kasuya ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
