According ^in+cmpx+++=According
to ^in++++=to
Plato ^np++++=Plato
( ^zz++++=(1997),
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
human ^jj+atrb+++=human
inclination ^nn+nom+++=inclination
to ^to+ncmp+++=to
engage ^vbi++++=engage
in ^in++++=in
mimetic ^jj+atrb+++=mimetic
behavior ^nn++++=behavior
is ^vbz+bez+vrb++=is
both ^abx++++=both
strong ^jj++++=strong
and ^cc+phrs+++=and
pervasive ^jj++++=pervasive.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
tendency ^nn++++=tendency
is ^vbz+bez+aux++=is
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
pleasurable ^jj+atrb+++=pleasurable
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
mimetic ^jj+atrb+++=mimetic
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
an ^at++++=an
aesthetic ^jj+atrb+++=aesthetic
experience ^nn+nom+++=experience
that ^tht+rel+obj++=that
fosters ^nns+nom+++=fosters
a ^at++++=a
sense ^nn++++=sense
of ^in++++=of
fulfillment ^nn+nom+++=fulfillment
and ^cc++++=and
connection ^nn+nom+++=connection
with ^in++++=with
nature ^nn++++=nature
and ^cc++++=and
the ^ati++++=the
environment ^nn+nom+++=environment.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
observation ^nn+nom+++=observation
of ^in++++=of
their ^pp$+pp3+++=their
surroundings ^nns++++=surroundings
and ^cc++++=and
the ^ati++++=the
imitation ^nn+nom+++=imitation
of ^in++++=of
images ^nns++++=images
and ^cc++++=and
behaviors ^nns++++=behaviors,
, ^zz++++=EXTRAWORD
individuals ^nns+nom+++=individuals
learn ^vb+vprv+++=learn
by ^in++++=by
representing ^xvbg+++xvbg+=representing
and ^cc++++=and
internalizing ^xvbg+++xvbg+=internalizing
these ^dt+dem+++=these
models ^nns++++=models.
. ^zz++++=EXTRAWORD
Plato ^np++++=Plato
( ^zz++++=(1997)
1997 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
the ^ati++++=the
propensity ^nn+nom+++=propensity
for ^in++++=for
imitation ^nn+nom+++=imitation
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
pronounced ^jj+++xvbn+=pronounced
that ^dt+dem+++=that
it ^pp3+it+++=it
warrants ^nns+nom+++=warrants
restricting ^vwbg+++xvbg+=restricting
young ^jj+atrb+++=young
people ^nns++++=people's
's ^$++++=EXTRAWORD
exposure ^nn++++=exposure
to ^in++++=to
artistic ^jj+atrb+++=artistic
works ^nns++++=works,
, ^zz++++=EXTRAWORD
as ^in++++=as
art ^nn++++=art
is ^vbz+bez+aux++=is
considered ^vpsv++agls+xvbnx+=considered
an ^at++++=an
imperfect ^jj+atrb+++=imperfect
representation ^nn+nom+++=representation
of ^in++++=of
reality ^nn+nom+++=reality;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
conceptual ^jj+atrb+++=conceptual
reasoning ^nvbg+++xvbg+=reasoning
is ^vbz+bez+aux++=is
viewed ^vpsv++agls+xvbnx+=viewed
as ^ql++++=as
the ^ati++++=the
preferred ^jj+atrb++xvbn+=preferred
means ^nns++++=means
of ^in++++=of
accessing ^xvbg+++xvbg+=accessing
true ^jj+atrb+++=true
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Plato ^np++++=Plato
expresses ^nns+nom+++=expresses
concern ^nn++++=concern
that ^tht+rel+++=that
art ^nn++++=art
may ^md+pos+++=may
present ^vb++++=present
negative ^jj+atrb+++=negative
examples ^nns++++=examples,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
Greek ^jj+atrb+++=Greek
tragedy ^nn++++=tragedy
and ^cc++++=and
comedy ^nn++++=comedy,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
emulated ^vpsv++by+xvbnx+=emulated
by ^in++++=by
young ^jj+atrb+++=young
people ^nns++++=people
( ^zz++++=(Gagnebin,
gagnebin ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993;
; ^zz++++=EXTRAWORD
Wulf ^np+++??+=Wulf,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Plato ^np++++=Plato
( ^zz++++=(1991)
1991 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
criticizes ^vbz++++=criticizes
mimesis ^nns+++??+=mimesis
for ^in++++=for
its ^pp$+it+++=its
passive ^jj+atrb+++=passive
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
characterizing ^nn++++=characterizing
it ^pp3+it+++=it
as ^in++++=as
a ^at++++=a
mere ^jjb+atrb+++=mere
reproduction ^nn+nom+++=reproduction
of ^in++++=of
existing ^xvbg+++xvbg+=existing
forms ^nns++++=forms
and ^cc++++=and
lacking ^jj+atrb++xvbg+=lacking
creative ^jj+atrb+++=creative
agency ^nn++++=agency
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
the ^ati++++=the
imitator ^nn++++=imitator.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
Plato ^np++++=Plato
rejects ^vbz++++=rejects
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
mimetic ^jj+atrb+++=mimetic
behavior ^nn++++=behavior
as ^in++++=as
an ^at++++=an
educational ^jj+atrb+++=educational
tool ^nn++++=tool
for ^in++++=for
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
young ^jj+atrb+++=young
individuals ^nns+nom+++=individuals.
. ^zz++++=EXTRAWORD
