Several ^ap++++=Several
learner ^nn++++=learner
corpus ^nn++++=corpus
studies ^nns++++=studies
employ ^vb++++=employ
Contrastive ^np+++??+=Contrastive
Interlanguage ^np+nom++??+=Interlanguage
Analysis ^nn++++=Analysis
( ^zz++++=(CIA),
cia ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
the ^ati++++=the
comparison ^nn++++=comparison
between ^in++++=between
learner ^nn++++=learner
language ^nn+nom+++=language
and ^cc++++=and
the ^ati++++=the
target ^nn++++=target
language ^nn+nom+++=language
( ^zz++++=(Granger,
granger ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
13 ^cd++++=13).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Learner ^nn++++=Learner
language ^nn+nom+++=language
is ^vbz+bez+aux++=is
often ^rb++splt++=often
referred ^vpsv++agls+xvbnx+=referred
to ^in++++=to
as ^ql++++=as
Interlanguage ^np+nom++??+=Interlanguage
Varieties ^nns++++=Varieties
( ^zz++++=(ILV),
ilv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
term ^nn++++=term
that ^tht+rel+subj++=that
emphasizes ^vbz+vpub+++=emphasizes
the ^ati++++=the
considerable ^jj+atrb+++=considerable
variability ^nn+nom+++=variability
inherent ^jj++++=inherent
in ^in++++=in
interlanguage ^nn+nom+++=interlanguage
( ^zz++++=(Granger,
granger ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
18 ^cd++++=18).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Cia ^np+++??+=CIA
can ^md+pos+++=can
involve ^vb++++=involve
comparisons ^nns++++=comparisons
between ^in++++=between
learners ^nns+nom+++=learners
oral ^jj+atrb+++=oral
or ^cc+phrs+++=or
written ^jj+atrb++xvbn+=written
texts ^nns++++=texts
and ^cc++++=and
those ^dt+dem+++=those
produced ^vpsv++by+xvbn+=produced
by ^in++++=by
native ^jj+atrb+++=native
speakers ^nns+nom+++=speakers
( ^zz++++=(ILV
ilv ^nn+++??+=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
Ns ^np+++??+=NS),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
demonstrated ^nn++++=demonstrated
by ^in++++=by
De ^&fw++++=De
Cock ^np++++=Cock
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
analysis ^nn++++=analysis
of ^in++++=of
word ^nn++++=word
combinations ^nns+nom+++=combinations
in ^in++++=in
an ^at++++=an
English ^jj+atrb+++=English
learner ^nn++++=learner
corpus ^nn++++=corpus
composed ^vwbn+++xvbn+=composed
of ^in++++=of
French ^jj+atrb+++=French
L1 ^np+++??+=L1
speakers ^nns+nom+++=speakers
and ^cc++++=and
an ^at++++=an
English ^jj+atrb+++=English
native ^jj+atrb+++=native
speaker ^npt++++=speaker
corpus ^nn++++=corpus.
. ^zz++++=EXTRAWORD
Alternatively ^rb+cnj+++=Alternatively,
, ^zz++++=EXTRAWORD
Cia ^np+++??+=CIA
may ^md+pos+++=may
compare ^vb++++=compare
interlanguage ^nn+nom+++=interlanguage
varieties ^nns++++=varieties
with ^in++++=with
both ^abx++++=both
learners ^nns+nom+++=learners
first ^rb++++=first
language ^nn+nom+++=language
and ^cc++++=and
native ^jj+atrb+++=native
speaker ^npt++++=speaker
data ^nns++++=data
( ^zz++++=(ILV
ilv ^nn+++??+=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
L1 ^np+++??+=L1
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
Ns ^np+++??+=NS),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
in ^in"++++=in
Altenberg ^np+++??+=Altenberg
and ^cc++++=and
Tapper ^np+++??+=Tapper
s ^zz++++=s
( ^zz++++=(1998)
1998 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
study ^nn++++=study
of ^in++++=of
adverbial ^jj+atrb+++=adverbial
connectors ^nns++++=connectors
using ^vwbg+++xvbg+=using
the ^ati++++=the
Sw ^np+++??+=Sw-ICLE,
- ^zz++++=EXTRAWORD
icle ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
Swedish ^jj+atrb+++=Swedish
L1 ^np+++??+=L1
corpus ^nn++++=corpus,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Locness ^nns+nom++??+=LOCNESS.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
Cia ^np+++??+=CIA
can ^md+pos+++=can
be ^vb+be+aux++=be
used ^vpsv++++=used
to ^to++++=to
compare ^vb++++=compare
two ^cd++++=two
or ^cc++++=or
more ^rbr++++=more
interlanguage ^nn+nom+++=interlanguage
varieties ^nns++++=varieties
( ^zz++++=(ILV
ilv ^nn+++??+=EXTRAWORD
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
Ilv ^np+++??+=ILV),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
illustrated ^nn++++=illustrated
by ^in++++=by
Boh ^np+++??+=Boh
rquez ^nn+++??+=rquez
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
her ^pp$+pp3+++=her
analysis ^nn++++=analysis
of ^in++++=of
lexical ^jj+atrb+++=lexical
bundles ^nns++++=bundles
in ^in++++=in
the ^ati++++=the
ch ^nnu++++=Ch-ICLE
- ^zz++++=EXTRAWORD
icle ^nn++++=EXTRAWORD
and ^cc++++=and
dt ^np++++=Dt-ICLE
- ^zz++++=EXTRAWORD
icle ^nn++++=EXTRAWORD
corpora ^nn++++=corpora.
. ^zz++++=EXTRAWORD
