Invasive ^np+++??+=Invasive
alien ^jj+atrb+++=alien
species ^nns++++=species
are ^vb+ber+vrb++=are
organisms ^nns+nom+++=organisms
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
being ^nn+nn+aux++=being
introduced ^vwbn+++xvbn+=introduced
from ^in++++=from
external ^jj+atrb+++=external
environments ^nns+nom+++=environments,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
adapt ^vb++++=adapt,
, ^zz++++=EXTRAWORD
reproduce ^vb++++=reproduce,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proliferate ^nn+nom+++=proliferate
extensively ^rb++++=extensively.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
establishment ^nn+nom+++=establishment
can ^md+pos+++=can
alter ^vb++++=alter
ecological ^jj+atrb+++=ecological
processes ^nns+nom+++=processes
and ^cc++++=and
negatively ^rb++++=negatively
impact ^nn++++=impact
native ^jj+atrb+++=native
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Biological ^jj+atrb+++=Biological
invasions ^nns++++=invasions
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
the ^ati++++=the
second ^od++++=second
leading ^jj+atrb++xvbg+=leading
cause ^nn++++=cause
of ^in++++=of
global ^jj+atrb+++=global
biodiversity ^nn+nom+++=biodiversity
loss ^nn++++=loss
( ^zz++++=(Mack
mack ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Latini ^np+++??+=Latini
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in++++=to
Pombo ^np+++??+=Pombo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2016),
2016 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
such ^abl++++=such
invasions ^nns++++=invasions
can ^md+pos+++=can
modify ^vb++++=modify
soil ^nn++++=soil
ecological ^jj+atrb+++=ecological
properties ^nns++++=properties,
, ^zz++++=EXTRAWORD
nutrient ^jj+atrb+++=nutrient
cycling ^nvbg+++xvbg+=cycling,
, ^zz++++=EXTRAWORD
water ^nn++++=water
availability ^nn+nom+++=availability,
, ^zz++++=EXTRAWORD
trophic ^jj+atrb+++=trophic
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
structure ^nn++++=structure
and ^cc++++=and
distribution ^nn+nom+++=distribution
of ^in++++=of
populations ^nns+nom+++=populations
and ^cc++++=and
communities ^nns+nom+++=communities.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition,
, ^zz++++=EXTRAWORD
invasive ^jj+atrb+++=invasive
alien ^jj+atrb+++=alien
species ^nns++++=species
can ^md+pos+++=can
affect ^vb++++=affect
ecosystem ^jj+atrb++??+=ecosystem
functions ^nns+nom+++=functions
by ^in++++=by
altering ^xvbg+++xvbg+=altering
biomass ^nns+++??+=biomass
distribution ^nn+nom+++=distribution
and ^cc++++=and
decomposition ^nn+nom+++=decomposition
rates ^nns++++=rates
( ^zz++++=(Helsen
helsen ^vb+++xvbn+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
may ^md+pos+++=may
also ^rb++++=also
disrupt ^jj+atrb++xvbn+=disrupt
evolutionary ^jj+atrb+++=evolutionary
processes ^nns+nom+++=processes,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
local ^jj+atrb+++=local
extinctions ^nns+nom+++=extinctions
and ^cc++++=and
increased ^vbd+++xvbn+=increased
ecosystem ^nn++++=ecosystem
homogenization ^nn+nom+++=homogenization
( ^zz++++=(Herrera
herrera ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
