Multivariate ^np+nom++??+=Multivariate
analysis ^nn++++=analysis
of ^in++++=of
variance ^nn+nom+++=variance
( ^zz++++=(MANOVA)
manova ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
multiple ^jj+atrb+++=multiple
response ^nn++++=response
variables ^nns++++=variables
and ^cc++++=and
the ^ati++++=the
construct ^nn++++=construct
under ^in++++=under
investigation ^nn+nom+++=investigation,
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
analysis ^nn++++=analysis
of ^in++++=of
variance ^nn+nom+++=variance
( ^zz++++=(ANOVA)
anova ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
assess ^vbi++++=assess
mean ^jj+atrb+++=mean
differences ^nns+nom+++=differences
among ^in++++=among
individual ^jj+atrb+++=individual
factors ^nns++++=factors
across ^in+pl+++=across
varying ^xvbg+++xvbg+=varying
levels ^nns++++=levels
of ^in++++=of
selfie ^nn+++??+=selfie
intensity ^nn+nom+++=intensity
( ^zz++++=(categorized
categorized ^jj+++xvbn+=EXTRAWORD
as ^ql++++=as
low ^jj++++=low,
, ^zz++++=EXTRAWORD
mild ^jj++++=mild,
, ^zz++++=EXTRAWORD
moderate ^jj++++=moderate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
severe ^jj++++=severe).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
average ^jj+atrb+++=average
variance ^nn+nom+++=variance
extracted ^vwbn+++xvbn+=extracted
( ^zz++++=(AVE)
ave ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
as ^ql++++=as
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
the ^ati++++=the
structural ^jj+atrb+++=structural
model ^nn++++=model
quality ^nn+nom+++=quality
for ^in++++=for
the ^ati++++=the
psychometric ^jj+atrb+++=psychometric
instrument ^nn+nom+++=instrument,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
established ^vbd+vprv++xvbn+=established
guidelines ^nns+++??+=guidelines
( ^zz++++=(Hair
hair ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009;
; ^zz++++=EXTRAWORD
Fornell ^np+++??+=Fornell
& ^zz++++=&
Larcker ^np+++??+=Larcker,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ave ^np+++??+=AVE
calculations ^nns+nom+++=calculations
were ^vbd+bed+aux++=were
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
parameter ^nn+nom+++=parameter
estimates ^nns+nom+++=estimates
obtained ^vwbn+++xvbn+=obtained
through ^in++++=through
Structural ^jj+atrb+++=Structural
Equation ^nn+nom+++=Equation
Modeling ^np+nom++??+=Modeling
( ^zz++++=(SEM).
sem ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ave ^np+++??+=AVE
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbnx+=defined
as ^ql++++=as
the ^ati++++=the
squared ^jj+atrb++xvbn+=squared
factor ^nn++++=factor
loading ^vwbg+++xvbg+=loading
and ^cc++++=and,
, ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
Sem ^np+++??+=SEM
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
both ^abx++++=both
measurement ^nn+nom+++=measurement
error ^nn++++=error
and ^cc++++=and
squared ^jj+atrb++xvbn+=squared
factor ^nn++++=factor
loadings ^nns++++=loadings
are ^vb+ber+aux++=are
expressed ^vpsv++agls+xvbnx+=expressed
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
units ^nns++++=units,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
Ave ^np+++??+=AVE
to ^to++++=to
represent ^vbi++++=represent
the ^ati++++=the
average ^jj+atrb+++=average
proportion ^nn+nom+++=proportion
of ^in++++=of
item ^nn++++=item
variance ^nn+nom+++=variance
explained ^vwbn+vpub++xvbn+=explained
by ^in++++=by
the ^ati++++=the
latent ^jj+atrb+++=latent
variable ^nn++++=variable.
. ^zz++++=EXTRAWORD
Fornell ^np+++??+=Fornell
and ^cc++++=and
Larcker ^np+++??+=Larcker
( ^zz++++=(1981)
1981 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
recommend ^vb+vsua+++=recommend
an ^at++++=an
Ave ^np+++??+=AVE
value ^nn++++=value
of ^in++++=of
0.50 ^nn+++??+=0.50
or ^cc++++=or
higher ^jjr++++=higher
as ^in++++=as
indicative ^nn++++=indicative
of ^in++++=of
adequate ^jj+atrb+++=adequate
model ^nn++++=model
fit ^nn++++=fit.
. ^zz++++=EXTRAWORD
Convergent ^np+++??+=Convergent
validity ^nn+nom+++=validity
can ^md+pos+++=can
be ^vb+be+aux++=be
assessed ^vpsv++agls+xvbnx+=assessed
using ^vbg+++xvbg+=using
both ^abx++++=both
Ave ^np+++??+=AVE
and ^cc++++=and
Cronbach ^np++++=Cronbach's
's ^$++++=EXTRAWORD
alpha ^nn++++=alpha,
, ^zz++++=EXTRAWORD
as ^in++++=as
supported ^nn++++=supported
by ^in++++=by
previous ^jj+atrb+++=previous
research ^nn++++=research
( ^zz++++=(Fornell
fornell ^nn+++??+=EXTRAWORD
& ^zz++++=&
Larcker ^np+++??+=Larcker,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981;
; ^zz++++=EXTRAWORD
Pestana ^np+++??+=Pestana
& ^zz++++=&
Gageiro ^np+++??+=Gageiro,
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005;
; ^zz++++=EXTRAWORD
Hair ^nn++++=Hair
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
application ^nn+nom+++=application
of ^in++++=of
Ave ^np+++??+=AVE
