Cheating ^nvbg+++xvbg+=Cheating
interactions ^nns+nom+++=interactions
contribute ^vb++++=contribute
to ^to++++=to
increased ^vbi++++=increased
community ^nn+nom+++=community-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
in ^in++++=in
mutualistic ^jj+atrb+++=mutualistic
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
By ^in++++=By
imposing ^xvbg+++xvbg+=imposing
selection ^nn+nom+++=selection
that ^tht+rel+obj++=that
favors ^nns++++=favors
trait ^nn++++=trait
mismatching ^vwbg+++xvbg+=mismatching,
, ^zz++++=EXTRAWORD
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
cheating ^xvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
results ^nns++++=results
in ^in++++=in
greater ^jjr+atrb+++=greater
species ^nns++++=species
trait ^nn++++=trait
disparity ^nn+nom+++=disparity.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
dynamic ^jj++++=dynamic
partially ^rb+down+++=partially
counteracts ^vbz+++??+=counteracts
the ^ati++++=the
selection ^nn+nom+++=selection
pressures ^nns++++=pressures
that ^tht+rel+subj++=that
promote ^vb++++=promote
convergence ^nn+nom+++=convergence
and ^cc++++=and
trait ^nn++++=trait
matching ^vwbg+++xvbg+=matching
in ^in++++=in
mutualisms ^nns+nom+++=mutualisms
( ^zz++++=(Guimar
guimar ^nn+++??+=EXTRAWORD
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011,
, ^zz++++=EXTRAWORD
Zhang ^np+++??+=Zhang
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
cheating ^nvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions
may ^md+pos+++=may
help ^vb++++=help
explain ^vb+vpub+++=explain
mechanisms ^nns+nom+++=mechanisms
that ^tht+rel+subj++=that
prevent ^vb++++=prevent
perfect ^jj+atrb+++=perfect
trait ^nn++++=trait
matching ^vwbg+++xvbg+=matching
in ^in++++=in
empirical ^jj+atrb+++=empirical
mutualistic ^nn++++=mutualistic
communities ^nns+nom+++=communities
( ^zz++++=(Law
law ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
increase ^nn++++=increase
in ^in++++=in
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
is ^vbz+bez+aux++=is
constrained ^vpsv++by+xvbnx+=constrained
by ^in++++=by
environmental ^jj+atrb+++=environmental
pressures ^nns++++=pressures
and ^cc++++=and
distinct ^jj+atrb+++=distinct
selection ^nn+nom+++=selection
regimes ^nns++++=regimes
( ^zz++++=(Andreazzi
andreazzi ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
limited ^jj+atrb++xvbn+=limited
genetic ^jj+atrb+++=genetic
variation ^nn+nom+++=variation
or ^cc++++=or
anatomical ^jj+atrb+++=anatomical
and ^cc+phrs+++=and
physiological ^jj+atrb+++=physiological
constraints ^nns+++??+=constraints
can ^md+pos+++=can
restrict ^vb++++=restrict
traits ^nns++++=traits
such ^abl++++=such
as ^ql++++=as
fruit ^nn++++=fruit
sugar ^nn++++=sugar
content ^nn++++=content
and ^cc++++=and
flower ^nn++++=flower
size ^nn++++=size
( ^zz++++=(Jordano
jordano ^np++++=EXTRAWORD
1995 ^cd+date+++=1995),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
limiting ^jj+++xvbg+=limiting
the ^ati++++=the
potential ^nn++++=potential
for ^in++++=for
trait ^nn++++=trait
matching ^vwbg+++xvbg+=matching.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
annual ^jj+atrb+++=annual
variation ^nn+nom+++=variation
in ^in++++=in
soil ^nn++++=soil
nutrients ^nns++++=nutrients
can ^md+pos+++=can
affect ^vb++++=affect
the ^ati++++=the
pulp ^nn++++=pulp
composition ^nn+nom+++=composition
of ^in++++=of
fleshy ^jj+atrb+++=fleshy
fruits ^nns++++=fruits,
, ^zz++++=EXTRAWORD
restricting ^vbg+++xvbg+=restricting
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
sugar ^nn++++=sugar-rich
- ^zz++++=EXTRAWORD
rich ^jj+atrb+++=EXTRAWORD
fruits ^nns++++=fruits
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
highly ^rb+amp+++=highly
attractive ^jj+pred+++=attractive
to ^in++++=to
frugivores ^nns+++??+=frugivores
( ^zz++++=(Herrera
herrera ^nn+++??+=EXTRAWORD
1998 ^cd+date+++=1998),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thus ^rb+cnj+++=thus
further ^jjb+atrb+++=further
limiting ^jj+atrb+++=limiting
trait ^nn++++=trait
matching ^nn++++=matching
in ^in++++=in
plant ^nn++++=plant-frugivore
- ^zz++++=EXTRAWORD
frugivore ^nn++++=EXTRAWORD
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
