Given ^vbd+++xvbn+=Given
the ^ati++++=the
central ^jj+atrb+++=central
characteristic ^nn++++=characteristic
of ^in++++=of
Undergraduate ^nn+nom+++=Undergraduate
Scientific ^jj+atrb+++=Scientific
Research ^nn++++=Research
( ^zz++++=(USR)
usr ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
involves ^vbz++++=involves
shifting ^jj+atrb++xvbg+=shifting
training ^nn++++=training
towards ^in++++=towards
a ^at++++=a
closer ^rbr++++=closer
relationship ^nn+nom+++=relationship
between ^in++++=between
an ^at++++=an
experienced ^jj+atrb++xvbn+=experienced
researcher ^nn+nom+++=researcher
and ^cc++++=and
a ^at++++=a
novice ^nn++++=novice
mimesis ^nns+++??+=mimesis
emerges ^vbz++++=emerges
as ^in++++=as
a ^at++++=a
relevant ^jj++++=relevant
and ^cc+phrs+++=and
effective ^jj+atrb+++=effective
theoretical ^jj+atrb+++=theoretical
framework ^nn++++=framework
for ^in++++=for
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
ethical ^jj+atrb+++=ethical
training ^nn++++=training
in ^in++++=in
research ^nn++++=research.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
as ^ql++++=as
will ^md+prd+++=will
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed,
, ^zz++++=EXTRAWORD
such ^abl++++=such
educational ^jj+atrb+++=educational
relationships ^nns+nom+++=relationships
promote ^vb++++=promote
not ^xnot++not++=not
only ^rb+down+++=only
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
technical ^jj+atrb+++=technical
skills ^nns++++=skills
but ^cc++++=but
also ^rb++++=also
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
practical ^jj+atrb+++=practical
research ^nn++++=research
competencies ^nns+++??+=competencies
that ^tht+rel+subj++=that
inherently ^rb++++=inherently
include ^vb++++=include
ethical ^jj+atrb+++=ethical
considerations ^nns+nom+++=considerations.
. ^zz++++=EXTRAWORD
By ^in++++=By
situating ^xvbg+++xvbg+=situating
Usr ^np+++??+=USR
as ^in++++=as
the ^ati++++=the
context ^nn++++=context
and ^cc++++=and
employing ^vbg+++xvbg+=employing
mimesis ^nns+++??+=mimesis
as ^ql++++=as
a ^at++++=a
theoretical ^nn++++=theoretical
construct ^vb++++=construct,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
drawing ^nvbg+++xvbg+=drawing
on ^in++++=on
the ^ati++++=the
works ^nn++++=works
of ^in++++=of
Adorno ^np+++??+=Adorno
and ^cc++++=and
Benjamin ^np+++??+=Benjamin,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
underscore ^vb+++??+=underscore
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
the ^ati++++=the
moral ^jj+atrb+++=moral
development ^nn+nom+++=development
of ^in++++=of
novice ^nn++++=novice
researchers ^nns+nom+++=researchers
within ^in++++=within
the ^ati++++=the
broader ^jjr+atrb+++=broader
framework ^nn++++=framework
of ^in++++=of
research ^nn++++=research
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
