With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
the ^ati++++=the
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
information ^nn+nom+++=information
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
adopts ^nns+++??+=adopts
Chafe ^nn++++=Chafe
s ^zz++++=s
( ^zz++++=(1982,
1982 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
47 ^cd++++=47)
) ^zz++++=EXTRAWORD
definition ^nn+nom+++=definition
of ^in++++=of
involvement ^nn+nom+++=involvement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
the ^ati++++=the
speaker ^npt++++=speaker
s ^zz++++=s
monitoring ^vwbg+++xvbg+=monitoring
of ^in++++=of
the ^ati++++=the
communication ^nn+nom+++=communication
channel ^nn++++=channel
with ^in++++=with
the ^ati++++=the
listener ^nn+nom+++=listener
and ^cc++++=and
efforts ^nns++++=efforts
to ^to+ncmp+++=to
ensure ^vbi+vprv+++=ensure
its ^pp$+it+++=its
effective ^jj+atrb+++=effective
functioning ^nvbg+++xvbg+=functioning.
. ^zz++++=EXTRAWORD
Speakers ^nns+nom+++=Speakers
may ^md+pos+++=may
utilize ^vb++++=utilize
specific ^jj+atrb+++=specific
strategies ^nns+++??+=strategies
to ^to++++=to
reinforce ^vbi++++=reinforce
their ^pp$+pp3+++=their
message ^nn+nom+++=message
by ^in++++=by
directing ^xvbg+++xvbg+=directing
the ^ati++++=the
listener ^nn+nom+++=listener
s ^zz++++=s
attention ^nn+nom+++=attention
to ^in++++=to
particular ^jj+atrb+++=particular
aspects ^nns++++=aspects
of ^in++++=of
the ^ati++++=the
ongoing ^jj+atrb++xvbg+=ongoing
discourse ^nn++++=discourse.
. ^zz++++=EXTRAWORD
Discourse ^nn++++=Discourse
markers ^nns+nom+++=markers
such ^in++++=such
as ^rb++++=as
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
among ^in++++=among
others ^aps++++=others,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
employed ^vpsv++agls+xvbn+=employed
to ^in++++=to
fulfill ^vb++++=fulfill
this ^dt+dem+++=this
function ^nn+nom+++=function.
. ^zz++++=EXTRAWORD
