Germination ^np+nom++??+=Germination
percentage ^nn+nom+++=percentage
and ^cc++++=and
germination ^nn+nom+++=germination
speed ^nn++++=speed
index ^nn++++=index
( ^zz++++=(GSI)
gsi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
data ^nns++++=data
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
daily ^jj++++=daily
for ^in++++=for
15 ^cd++++=15
days ^nns++++=days
of ^in++++=of
cultivation ^nn+nom+++=cultivation.
. ^zz++++=EXTRAWORD
Seeds ^nns++++=Seeds
were ^vbd+bed+aux++=were
classified ^vpsv++agls+xvbnx+=classified
as ^cs+sub+++=as
germinated ^jj+++xvbn+=germinated
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
exhibited ^vbd+++xvbnx+=exhibited
embryo ^nn++++=embryo
swelling ^nn+nom+++=swelling,
, ^zz++++=EXTRAWORD
rupture ^nn++++=rupture
of ^in++++=of
the ^ati++++=the
seminal ^jj+atrb+++=seminal
envelope ^nn++++=envelope,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
light ^jj+atrb+++=light
green ^nn++++=green
coloration ^nn+nom+++=coloration
indicative ^nn++++=indicative
of ^in++++=of
active ^jj+atrb+++=active
metabolism ^nn+nom+++=metabolism.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Gsi ^np+++??+=GSI
was ^vbd+bedz+aux++=was
calculated ^vpsv++agls+xvbnx+=calculated
following ^jj+++xvbg+=following
the ^ati++++=the
method ^nn++++=method
described ^vwbn+++xvbn+=described
by ^in++++=by
Maguire ^np+++??+=Maguire
( ^zz++++=(1962),
1962 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
formula ^nn++++=formula
Gsi ^np+++??+=GSI
= ^zz++++==
( ^zz++++=(Gi/ni),
gi ^nn++++=EXTRAWORD
where ^wrb+who+++=where
Gi ^np+++??+=Gi
represents ^vbz++++=represents
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
seeds ^nns++++=seeds
germinated ^vbd+++xvbn+=germinated
on ^in++++=on
a ^at++++=a
given ^jj+++xvbn+=given
day ^np++++=day
and ^cc++++=and
ni ^nn++++=ni
denotes ^vbz+vsua+++=denotes
the ^ati++++=the
corresponding ^jj+atrb+++=corresponding
day ^nn++++=day
of ^in++++=of
counting ^nn++++=counting.
. ^zz++++=EXTRAWORD
