Biodiversity ^np+nom++??+=Biodiversity,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
conservation ^nn+nom+++=conservation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
sustainable ^jj+atrb+++=sustainable
use ^nn++++=use
are ^vb+ber+vrb++=are
central ^jj+atrb+++=central
topics ^nns++++=topics
in ^in++++=in
contemporary ^jj+atrb+++=contemporary
discussions ^nns++++=discussions
within ^in++++=within
the ^ati++++=the
fields ^nns++++=fields
of ^in++++=of
politics ^nn++++=politics,
, ^zz++++=EXTRAWORD
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
economics ^nn++++=economics.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
1992 ^cd+date+++=1992
Rio ^np+++??+=Rio
de ^&fw++++=de
Janeiro ^np+++??+=Janeiro
Summit ^nn++++=Summit,
, ^zz++++=EXTRAWORD
a ^at++++=a
specific ^jj+atrb+++=specific
focus ^nn++++=focus
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
on ^in++++=on
global ^jj++++=global
environmental ^jj++++=environmental
challenges ^vbz++++=challenges,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
the ^ati++++=the
convention ^nn+nom+++=Convention
on ^in++++=on
biological ^jj+atrb+++=Biological
diversity ^nn+nom+++=Diversity.
. ^zz++++=EXTRAWORD
