Goffman ^np+++??+=Goffman
( ^zz++++=(1974,
1974 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
9 ^zz++++=9)
) ^zz++++=EXTRAWORD
defines ^vbz++++=defines
" ^zz++++="face"
face ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
image ^nn++++=image
of ^in++++=of
the ^ati++++=the
self ^nn++++=self
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
constructed ^vpsv++agls+xvbnx+=constructed
in ^in++++=in
accordance ^nn+nom+++=accordance
with ^in"++++=with
socially ^rb++++=socially
approved ^xvbn+++xvbn+=approved
attributes ^nns++++=attributes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
notes ^vb++++=notes
that ^tht+vcmp+obj++=that
this ^dt+dem+++=this
image ^nn++++=image
can ^md+pos+++=can
be ^vb+be+vrb++=be
collectively ^jj++++=collectively
recognized ^jj+++xvbn+=recognized,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
when ^wrb+who+++=when
an ^at++++=an
individual ^nn+nom+++=individual
enhances ^nns+nom+++=enhances
the ^ati++++=the
reputation ^nn+nom+++=reputation
of ^in++++=of
their ^pp$+pp3+++=their
profession ^nn++++=profession
or ^cc++++=or
religion ^nn++++=religion
through ^in++++=through
their ^pp$+pp3+++=their
own ^ap++++=own
conduct ^nn++++=conduct.
. ^zz++++=EXTRAWORD
During ^in++++=During
interaction ^nn+nom+++=interaction,
, ^zz++++=EXTRAWORD
speakers ^nns+nom+++=speakers
typically ^rb++++=typically
seek ^vb++++=seek
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
a ^at++++=a
positive ^jj+atrb+++=positive
self ^nn++++=self-image
- ^zz++++=EXTRAWORD
image ^nn++++=EXTRAWORD
and ^cc++++=and
affirm ^nn+++??+=affirm
their ^pp$+pp3+++=their
social ^jj+atrb+++=social
position ^nn+nom+++=position
by ^in++++=by
adopting ^xvbg+++xvbg+=adopting
one ^pn++++=one
of ^in++++=of
two ^cd++++=two
primary ^jj+atrb+++=primary
attitudes ^nns++++=attitudes:
: ^zz++++=EXTRAWORD
a ^at++++=a
defensive ^jj+atrb+++=defensive
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
aimed ^j+++xvbn+=aimed
at ^rb++++=at
maintaining ^vbg+++xvbg+=maintaining
their ^pp$+pp3+++=their
own ^ap++++=own
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
protective ^jj+atrb+++=protective
attitude ^nn++++=attitude,
, ^zz++++=EXTRAWORD
focused ^j+++xvbn+=focused
on ^in++++=on
preserving ^xvbg+++xvbg+=preserving
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
their ^pp$+pp3+++=their
interlocutor ^nn++++=interlocutor
( ^zz++++=(Burgo
burgo ^nn+++??+=EXTRAWORD
& ^zz++++=&
neto ^np++++=Neto,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
885 ^cd++++=885).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
