Latin ^jj+atrb+++=Latin
America ^np++++=America
possesses ^nns+nom+++=possesses
considerable ^jj+atrb+++=considerable
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
offering ^vbg+++xvbg+=offering
significant ^jj+atrb+++=significant
opportunities ^nns+nom+++=opportunities
to ^to++++=to
utilize ^vbi++++=utilize
a ^at++++=a
wide ^jj+atrb+++=wide
range ^nn++++=range
of ^in++++=of
natural ^jj+atrb+++=natural
resources ^nns++++=resources
for ^in++++=for
the ^ati++++=the
development ^nn+nom+++=development
of ^in++++=of
the ^ati++++=the
bioeconomy ^nn+++??+=bioeconomy.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
some ^dti++++=some
of ^in++++=of
these ^dt+dem+++=these
resources ^nns++++=resources
have ^vb+hv+aux++=have
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
remain ^vb++++=remain
unexplored ^jj+++xvbn+=unexplored.
. ^zz++++=EXTRAWORD
the ^ati++++=The
following ^nn++++=following
two ^cd++++=two
cases ^nns++++=cases
illustrate ^nn+nom+++=illustrate
this ^dt+dem+++=this
potential ^nn++++=potential.
. ^zz++++=EXTRAWORD
