Imagination ^nn+nom+++=Imagination,
, ^zz++++=EXTRAWORD
defined ^vpbn+vprv++xvbn+=defined
as ^ql++++=as
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
generate ^nn+nom+++=generate
mental ^jj+atrb+++=mental
images ^nns++++=images,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
supported ^vpsv++by+xvbnx+=supported
by ^in++++=by
the ^ati++++=the
archaic ^jj+atrb+++=archaic
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
interpret ^vbi++++=interpret
objects ^nns++++=objects
directly ^rb+cnj+++=directly,
, ^zz++++=EXTRAWORD
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
mediation ^nn+nom+++=mediation
of ^in++++=of
language ^nn+nom+++=language
( ^zz++++=(Freitas,
freitas ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
365 ^cd++++=365).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
Benjamin ^np+++??+=Benjamin
employs ^vbz++++=employs
the ^ati++++=the
term ^nn++++=term
" ^zz++++="archaic"
archaic ^jj++++=EXTRAWORD
" ^zz++++=EXTRAWORD
to ^to++++=to
refer ^vbi++++=refer
both ^abx++++=both
to ^in++++=to
the ^ati++++=the
origins ^nns++++=origins
of ^in++++=of
humanity ^nn+nom+++=humanity
and ^cc++++=and
history ^nn++++=history,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^in++++=to
the ^ati++++=the
developmental ^jj+atrb+++=developmental
stage ^nn++++=stage
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
child ^nn++++=child
learns ^vbz+vprv+++=learns
about ^in++++=about
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
undergoes ^vbz++++=undergoes
socialization ^nn+nom+++=socialization
in ^in++++=in
preparation ^nn+nom+++=preparation
for ^in++++=for
adult ^jj+atrb+++=adult
life ^nn++++=life
( ^zz++++=(Schlesener,
schlesener ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
256 ^cd++++=256).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
imitation ^nn+nom+++=imitation
is ^vbz+bez+aux++=is
deliberately ^rb++splt++=deliberately
employed ^vpsv++agls+xvbnx+=employed
as ^ql++++=as
a ^at++++=a
means ^nn++++=means
of ^in++++=of
facilitating ^vbg+++xvbg+=facilitating
integration ^nn+nom+++=integration
into ^in++++=into
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
