Conclusions ^nns++++=Conclusions:
: ^zz++++=EXTRAWORD
The ^ati++++=The
inclusion ^nn++++=inclusion
criteria ^nns++++=criteria
employed ^vwbn+++xvbn+=employed
by ^in++++=by
Lilacs ^np+++??+=LILACS
effectively ^rb++++=effectively
mitigate ^nn+nom+++=mitigate
potential ^jj+atrb+++=potential
pro ^nn++++=pro-endogeneity
- ^zz++++=EXTRAWORD
endogeneity ^nn+nom+++=EXTRAWORD
effects ^nns++++=effects
that ^tht+rel+obj++=that
university ^npl+nom+++=university
ownership ^nn+nom+++=ownership
may ^md+pos+++=may
exert ^vb++++=exert
on ^in++++=on
regional ^jj+atrb+++=regional
journals ^nns+nom+++=journals.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
evaluating ^jj+atrb++xvbg+=evaluating
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
consider ^nn+nom+++=consider
journal ^nn++++=journal
size ^nn++++=size
in ^in++++=in
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
authorship ^nn+nom+++=authorship
concentration ^nn+nom+++=concentration
indexes ^nns+++??+=indexes.
. ^zz++++=EXTRAWORD
A ^at++++=A
formal ^jj+atrb+++=formal
derivation ^nn+nom+++=derivation
of ^in++++=of
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
these ^dt+dem+++=these
indexes ^nns+++??+=indexes
and ^cc++++=and
journal ^nn++++=journal
size ^nn++++=size
would ^md+prd+++=would
enable ^vb++++=enable
a ^at++++=a
more ^rbr++++=more
precise ^jj+atrb+++=precise
interpretation ^nn+nom+++=interpretation
of ^in++++=of
authorship ^nn+nom+++=authorship
concentration ^nn+nom+++=concentration
metrics ^nns++++=metrics.
. ^zz++++=EXTRAWORD
