Compared ^vbd+++xvbn+=Compared
to ^in++++=to
journals ^nns+nom+++=journals
indexed ^vwbn+++xvbn+=indexed
in ^in++++=in
Lilacs ^np+++??+=LILACS,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
indexed ^jj+++xvbn+=indexed
in ^in++++=in
Medline ^np+++??+=MEDLINE
exhibited ^vbd+++xvbn+=exhibited
a ^at++++=a
lower ^jjr+atrb+++=lower
proportion ^nn+nom+++=proportion
of ^in++++=of
articles ^nns++++=articles
authored ^vwbn+++xvbn+=authored
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
prolific ^jj+atrb+++=prolific
contributor ^nn++++=contributor
( ^zz++++=(median
median ^jjb++++=EXTRAWORD
2.9 ^cd++++=2.9%,
% ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
95th ^cd++++=95th
percentile ^nn+++??+=percentile
10.6 ^cd++++=10.6%)
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
a ^at++++=a
higher ^jjr++++=higher
Gini ^np+++??+=Gini
coefficient ^nn++++=coefficient
( ^zz++++=(median
median ^jjb+atrb+++=EXTRAWORD
0.183 ^nn+++??+=0.183,
, ^zz++++=EXTRAWORD
95th ^cd++++=95th
percentile ^nn+++??+=percentile
0.355 ^nn+++??+=0.355),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Scanff ^np+++??+=Scanff
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021).
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
after ^in++++=after
applying ^xvbg+++xvbg+=applying
reweighting ^jj+++xvbg+=reweighting
to ^in++++=to
the ^ati++++=the
Medline ^np+++??+=MEDLINE
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
both ^abx++++=both
measures ^nns++++=measures
of ^in++++=of
authorship ^nn+nom+++=authorship
concentration ^nn+nom+++=concentration
in ^in++++=in
Medline ^np+++??+=MEDLINE
closely ^rb++++=closely
approximated ^vbd+++xvbn+=approximated
those ^dt+dem+++=those
observed ^jj++++=observed
in ^in++++=in
lilacs ^np++++=LILACS
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
