The ^ati++++=The
individuals ^nns+nom+++=individuals
classified ^vwbn+++xvbn+=classified
within ^in++++=within
the ^ati++++=the
group ^nn++++=group
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vanhovei ^nn+++??+=vanhovei,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
positive ^nn++++=positive
coordinate ^nn+nom+++=coordinate
on ^in++++=on
the ^ati++++=the
axis ^nn++++=axis,
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
the ^ati++++=the
following ^in++++=following
shared ^vbd+++xvbn+=shared
characteristics ^nns++++=characteristics:
: ^zz++++=EXTRAWORD
