Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
a ^at++++=a
verrucose ^nn+++??+=verrucose
endoperidium ^nn+++??+=endoperidium
with ^in++++=with
prominent ^jj+atrb+++=prominent
triangular ^jj+atrb+++=triangular
processes ^nns+nom+++=processes
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+aux++=be
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
south ^nr+pl+++=South
america ^np++++=America
( ^zz++++=(Sousa
sousa ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
