When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
to ^to+vcmp+++=to
select ^vbi++++=select
the ^ati++++=the
primary ^jj+atrb+++=primary
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
from ^in++++=from
four ^cd++++=four
options ^nns+nom+++=options,
, ^zz++++=EXTRAWORD
to ^to++++=to
explain ^vbi+vpub+++=explain
their ^pp$+pp3+++=their
change ^nn++++=change
in ^in++++=in
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
28 ^cd++++=28%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
whose ^whp+rel+obj++=whose
perception ^nn+nom+++=perception
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers
had ^vbd+hvd+aux++=had
improved ^vprf+++xvbnx+=improved
chose ^vbd+++xvbn+=chose
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
intelligent ^jj+atrb+++=intelligent
people ^nns++++=people
that ^tht+rel+++=that
studied ^jj+++xvbn+=studied
a ^at++++=a
lot ^nn++++=lot
as ^in++++=as
the ^ati++++=the
main ^jjb+atrb+++=main
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
26 ^cd++++=26%
% ^zz++++=EXTRAWORD
selected ^vwbn+++xvbn+=selected
they ^pp3a+pp3+++=they
avoid ^vb++++=avoid
suffering ^nvbg+++xvbg+=suffering
and ^cc++++=and
save ^vb++++=save
lives ^nns++++=lives
as ^ql++++=as
their ^pp$+pp3+++=their
second ^od++++=second
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
opinion ^nn++++=opinion
of ^in++++=of
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers
had ^vbd+hvd+aux++=had
worsened ^vprf+++xvbnx+=worsened,
, ^zz++++=EXTRAWORD
35 ^cd++++=35%
% ^zz++++=EXTRAWORD
identified ^vbd+++xvbn+=identified
other ^ap++++=other
as ^ql++++=as
their ^pp$+pp3+++=their
main ^jjb+atrb+++=main
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
24 ^cd++++=24%
% ^zz++++=EXTRAWORD
selected ^vwbn+++xvbn+=selected
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
arrogant ^jj+pred+++=arrogant
as ^ql++++=as
their ^pp$+pp3+++=their
second ^od++++=second
choice ^nn++++=choice.
. ^zz++++=EXTRAWORD
