I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
an ^at++++=an
advisor ^nn++++=advisor
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
highly ^rb+amp+splt++=highly
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
supporting ^xvbg+++xvbg+=supporting
the ^ati++++=the
academic ^jj+atrb+++=academic
development ^nn+nom+++=development
of ^in++++=of
undergraduate ^nn+nom+++=undergraduate
students ^nns++++=students.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
support ^nn++++=support
provided ^vbd+vsua++xvbn+=provided
me ^pp1o+pp1+++=me
with ^in++++=with
the ^ati++++=the
autonomy ^nn++++=autonomy
to ^to++++=to
conduct ^vbi++++=conduct
my ^pp$+pp1+++=my
own ^ap++++=own
academic ^jj+atrb+++=academic
research ^nn++++=research,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
formed ^vprf+++xvbn+=formed
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
my ^pp$+pp1+++=my
undergraduate ^nn+nom+++=undergraduate
thesis ^nn++++=thesis
( ^zz++++=(TCC)
tcc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
be ^vbi++vrb++=be
further ^jjb++++=further
developed ^jj+++xvbn+=developed
in ^in++++=in
subsequent ^jj+atrb+++=subsequent
stages ^nns++++=stages.
. ^zz++++=EXTRAWORD
( ^zz++++=(USResearcher
usresearcher ^jjr++++=EXTRAWORD
13 ^cd++++=13,
, ^zz++++=EXTRAWORD
questionnaire ^nn++++=Questionnaire,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
