As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Scanff ^np+++??+=Scanff
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021),
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
approximately ^rb+down+++=approximately
one ^cd1++++=one
third ^nn++++=third
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals
suspected ^vbd+vprv++xvbn+=suspected
of ^in++++=of
endogeneity ^nn+nom+++=endogeneity
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published
in ^in++++=in
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
language ^nn+nom+++=language
other ^ap++++=other
than ^in++++=than
English ^jj++++=English,
, ^zz++++=EXTRAWORD
despite ^in++++=despite
the ^ati++++=the
predominance ^nn+nom+++=predominance
of ^in++++=of
English ^jj++++=English-language
- ^zz++++=EXTRAWORD
language ^nn+nom+++=EXTRAWORD
journals ^nns+nom+++=journals
in ^in++++=in
Medline ^np+++??+=MEDLINE.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
predominance ^nn+nom+++=predominance
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
proposed ^jj+++xvbn+=proposed
95th ^cd++++=95th
percentile ^nn+++??+=percentile
cutoffs ^nns+++??+=cutoffs
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
applicable ^jj+pred+++=applicable
to ^in++++=to
health ^nn++++=health
sciences ^nns+nom+++=sciences
journals ^nns+nom+++=journals
published ^vbd+++xvbn+=published
in ^in++++=in
other ^ap++++=other
languages ^nns+nom+++=languages,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
frequently ^rb++++=frequently
not ^xnot++not++=not
indexed ^vbd+++xvbn+=indexed
in ^in++++=in
Medline ^np+++??+=MEDLINE.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
journals ^nns+nom+++=journals
are ^vb+ber+vrb++=are
more ^rbr++++=more
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
s ^zz++++=s
Global ^jj+atrb+++=Global
Index ^nn++++=Index
Medicus ^np+++??+=Medicus,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
consists ^nns+nom+++=consists
of ^in++++=of
five ^cd++++=five
regional ^jj+atrb+++=regional
bibliographic ^jj+atrb+++=bibliographic
indexes ^nns+++??+=indexes
that ^tht+rel+++=that
primarily ^rb+down+++=primarily
target ^nn++++=target
lowand ^nn+++??+=lowand
middle ^jjb++++=middle-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
The ^ati++++=The
principal ^jjb+atrb+++=principal
regional ^jj+atrb+++=regional
index ^nn++++=index
among ^in++++=among
these ^dt+pdem+++=these
is ^vbz+bez+vrb++=is
the ^ati++++=the
Latin ^jj++++=Latin
American ^jj++++=American
and ^cc++++=and
Caribbean ^np+nom++??+=Caribbean
Literature ^nn++++=Literature
on ^in++++=on
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences
( ^zz++++=(LILACS),
lilacs ^nns++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
maintained ^vpsv++by+xvbnx+=maintained
by ^in++++=by
the ^ati++++=the
Pan ^vb++++=Pan
American ^jj+atrb+++=American
Health ^nn++++=Health
Organization ^nn+nom+++=Organization
s ^zz++++=s
Latin ^jj++++=Latin
American ^jj++++=American
and ^cc++++=and
Caribbean ^np+nom++??+=Caribbean
Center ^np+++??+=Center
on ^in++++=on
Health ^nn++++=Health
Sciences ^nns+nom+++=Sciences
Information ^nn+nom+++=Information
( ^zz++++=(BIREME,
bireme ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
its ^pp$+it+++=its
original ^nn+nom+++=original
Portuguese ^nn+nom+++=Portuguese
Name ^nn++++=name)
	 ^zz++++=EXTRAWORD
 ^zz++++=(Clark
Clark ^np++++=EXTRAWORD
And ^cc++++=and
Castro ^np++++=Castro,
 ^zz++++=EXTRAWORD
002 ^cd++++=2002).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
