Regarding ^in++++=Regarding
stomatal ^jj+atrb+++=stomatal
distribution ^nn+nom+++=distribution,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata
leaves ^nns++++=leaves
were ^vbd+bed+vrb++=were
amphistomatic ^jj+pred+++=amphistomatic,
, ^zz++++=EXTRAWORD
with ^in++++=with
stomata ^nn+++??+=stomata
on ^in++++=on
the ^ati++++=the
abaxial ^jj+atrb+++=abaxial
surface ^nn++++=surface
predominantly ^rb++++=predominantly
located ^vbd+++xvbn+=located
within ^in++++=within
crypts ^nns+++??+=crypts
that ^tht+rel+++=that
extended ^jj+++xvbn+=extended
to ^in++++=to
approximately ^rb+down+++=approximately
one ^cd1++++=one-quarter
- ^zz++++=EXTRAWORD
quarter ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
leaf ^nn++++=leaf
thickness ^nns+nom+++=thickness
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
6a ^cd++++=6a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
characteristics ^nns++++=characteristics
were ^vbd+bed+vrb++=were
most ^ql+emph+++=most
pronounced ^jj+++xvbn+=pronounced
in ^in++++=in
the ^ati++++=the
control ^nn++++=control
group ^nn++++=group
and ^cc++++=and
in ^in++++=in
plants ^nns++++=plants
cultivated ^vbd+++xvbn+=cultivated
in ^in++++=in
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
in ^in++++=in
vitro ^nn+++??+=vitro
plantlets ^nns+nom+++=plantlets
did ^vbd+dod+aux++=did
not ^xnot++not++=not
develop ^vb++++=develop
stomatal ^jj+atrb+++=stomatal
crypts ^nns+++??+=crypts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
stomata ^nn+++??+=stomata
were ^vbd+bed+vrb++=were
rudimentary ^jj+pred+++=rudimentary
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
6d ^cd++++=6d).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
plants ^nns++++=plants
grown ^vbd+++xvbn+=grown
in ^in++++=in
the ^ati++++=the
greenhouse ^nn++++=greenhouse
exhibited ^vbd+++xvbn+=exhibited
smaller ^jjr+atrb+++=smaller
and ^cc+phrs+++=and
shallower ^jjr+atrb+++=shallower
crypts ^nns+++??+=crypts
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
6e ^cd++++=6e)
) ^zz++++=EXTRAWORD
compared ^vbd+++xvbn+=compared
to ^in++++=to
field ^nn++++=field-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
plants ^nns++++=plants
( ^zz++++=(control
control ^nn++++=EXTRAWORD
group ^nn++++=group),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
possessed ^vbd+++xvbn+=possessed
fully ^rb+amp+++=fully
developed ^vprf+++xvbn+=developed
stomata ^nn++++=stomata
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
6a ^cd++++=6a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
