Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
whitish ^jj+atrb+++=whitish
pseudostipe ^nn+++??+=pseudostipe
exhibiting ^vwbg+++xvbg+=exhibiting
small ^jj+atrb+++=small
perforations ^nns+nom+++=perforations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
off ^rp+pl+++=off-white,
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
perforate ^nn+nom+++=perforate,
, ^zz++++=EXTRAWORD
narrowly ^rb++++=narrowly
campanulate ^nn+nom+++=campanulate
receptacle ^nn+++??+=receptacle
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
wrinkled ^vwbn+++xvbn+=wrinkled
to ^in++++=to
minutely ^rb++++=minutely
rugulose ^vb+++??+=rugulose
with ^in++++=with
a ^at++++=a
toothed ^jj+atrb++xvbn+=toothed
margin ^nn++++=margin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
apex ^nn++++=apex
of ^in++++=of
the ^ati++++=the
receptacle ^nn+++??+=receptacle
features ^nns++++=features
a ^at++++=a
prominent ^jj++++=prominent
pore ^jj++++=pore,
, ^zz++++=EXTRAWORD
around ^in++++=around
which ^whp+rel+pied++=which
a ^at++++=a
ring ^nn++++=ring-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
structure ^nn++++=structure
is ^vbz+bez+vrb++=is
clearly ^rb++++=clearly
observable ^jj+pred+++=observable
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
