Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
non ^&fw++++=non-hygroscopic
- ^zz++++=EXTRAWORD
hygroscopic ^jj+atrb+++=EXTRAWORD
exoperidium ^nn+++??+=exoperidium,
, ^zz++++=EXTRAWORD
a ^at++++=a
sessile ^nn+++??+=sessile
endoperidium ^nn+++??+=endoperidium
or ^cc++++=or
one ^pn++++=one
with ^in++++=with
a ^at++++=a
very ^ql+amp+++=very
short ^jj+atrb+++=short
stipe ^nn+++??+=stipe,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
peristoma ^nn+++??+=peristoma
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
plicated ^vpsv++agls+xvbnx+=plicated
and ^cc++++=and
well ^rb++++=well
defined ^vbd+vprv++xvbn+=defined
( ^zz++++=(Trierveiler-Pereira
trierveiler ^jjr++++=EXTRAWORD
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
& ^zz++++=&
silveira ^np++++=Silveira,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
