Recent ^jj+atrb+++=Recent
theoretical ^jj+atrb+++=theoretical
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
introduced ^vprf+++xvbnx+=introduced
models ^nns++++=models
that ^tht+rel+obj++=that
support ^nn++++=support
the ^ati++++=the
international ^jj+atrb+++=international
coordination ^nn+nom+++=coordination
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
marking ^nvbg+++xvbg+=marking
a ^at++++=a
significant ^jj+atrb+++=significant
departure ^nn++++=departure
from ^in++++=from
traditional ^jj+atrb+++=traditional
views ^nns++++=views
that ^tht+ncmp+subj++=that
favored ^vprf+++xvbn+=favored
complete ^jj+atrb+++=complete
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
based ^jj+++xvbn+=based
on ^in++++=on
the ^ati++++=the
efficient ^jj+atrb+++=efficient
markets ^nns++++=markets
hypothesis ^nn++++=hypothesis.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
provide ^vb+vsua+++=provide
a ^at++++=a
formal ^jj+atrb+++=formal
framework ^nn++++=framework
for ^in++++=for
the ^ati++++=the
multilateral ^jj+atrb+++=multilateral
aspects ^nns++++=aspects
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
proposing ^vbg+++xvbg+=proposing
coordination ^nn+nom+++=coordination
both ^abx++++=both
among ^in++++=among
capital ^nn++++=capital
recipient ^nn++++=recipient
countries ^nns++++=countries
and ^cc++++=and
between ^in++++=between
capital ^nn++++=capital
recipient ^nn++++=recipient
and ^cc++++=and
capital ^nn++++=capital
source ^nn++++=source
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
A ^at++++=A
central ^jj+atrb+++=central
argument ^nn+nom+++=argument
in ^in++++=in
this ^dt+dem+++=this
literature ^nn++++=literature
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
unilateral ^jj+atrb+++=unilateral
implementation ^nn+nom+++=implementation
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
by ^in++++=by
emerging ^xvbg+++xvbg+=emerging
market ^nn++++=market
economies ^nns++++=economies
entails ^vbz++++=entails
increasing ^jj+++xvbg+=increasing
and ^cc++++=and
convex ^nn+++??+=convex
costs ^nns++++=costs,
, ^zz++++=EXTRAWORD
leading ^jj+++xvbg+=leading
to ^in++++=to
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
welfare ^nn++++=welfare
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
utility ^nn+nom+++=utility
functions ^nns+nom+++=functions
of ^in++++=of
private ^jj+atrb+++=private
agents ^nns++++=agents
in ^in++++=in
countries ^nns++++=countries
that ^tht+rel+++=that
intensively ^jj++++=intensively
apply ^vb++++=apply
such ^abl++++=such
measures ^nns++++=measures.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
policies ^nns++++=policies
that ^tht+rel+subj++=that
promote ^vb++++=promote
the ^ati++++=the
international ^jj+atrb+++=international
coordination ^nn+nom+++=coordination
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
are ^vb+ber+aux++=are
recommended ^vpsv++agls+xvbnx+=recommended
to ^to++++=to
distribute ^vbi++++=distribute
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
regulatory ^nn++++=regulatory
burden ^nn++++=burden
more ^rbr++++=more
evenly ^rb++++=evenly
among ^in++++=among
recipient ^nn++++=recipient
countries ^nns++++=countries
and ^cc++++=and
between ^in++++=between
recipient ^nn++++=recipient
and ^cc++++=and
source ^nn++++=source
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
mitigating ^vbg+++xvbg+=mitigating
the ^ati++++=the
convex ^nn+++??+=convex
costs ^nns++++=costs
linked ^vwbn+++xvbn+=linked
to ^in++++=to
unilateral ^jj+atrb+++=unilateral
capital ^nn++++=capital
inflow ^nn++++=inflow
controls ^nns++++=controls
( ^zz++++=(Ostry
ostry ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012;
; ^zz++++=EXTRAWORD
korinek ^np++++=Korinek,
, ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
