Regarding ^in++++=Regarding
the ^ati++++=the
population ^nn+nom+++=population,
, ^zz++++=EXTRAWORD
research ^nn++++=research
indicates ^nns+nom+++=indicates
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
engage ^vb++++=engage
in ^in++++=in
posting ^nn++++=posting
selfies ^vbz++++=selfies
more ^rbr++++=more
frequently ^rb++++=frequently
than ^in++++=than
both ^abx++++=both
young ^jj+atrb+++=young
adults ^nns++++=adults
and ^cc++++=and
older ^jjr+atrb+++=older
adults ^nns++++=adults
( ^zz++++=(Dhir
dhir ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Baiocco ^np+++??+=Baiocco
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
underscoring ^jj+++xvbg+=underscoring
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
examining ^xvbg+++xvbg+=examining
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
selfie ^nn++++=selfie-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
behaviors ^nns++++=behaviors
within ^in++++=within
this ^dt+dem+++=this
demographic ^jj+atrb+++=demographic
group ^nn++++=group.
. ^zz++++=EXTRAWORD
