Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
its ^pp$+it+++=its
small ^jj+atrb+++=small
basidiomata ^nn+++??+=basidiomata,
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
up ^rp++++=up
to ^to++++=to
17 ^cd++++=17
mm ^nnu++++=mm
in ^in++++=in
width ^nn++++=width,
, ^zz++++=EXTRAWORD
an ^at++++=an
exoperidium ^nn++++=exoperidium
covered ^vbd+++xvbn+=covered
with ^in++++=with
short ^jj+atrb+++=short
hairs ^nns++++=hairs
up ^rp++++=up
to ^to++++=to
1 ^zz++++=1
mm ^nnu++++=mm
in ^in++++=in
length ^nn++++=length,
, ^zz++++=EXTRAWORD
a ^at++++=a
fibrillose ^nn+++??+=fibrillose
peristome ^nn+++??+=peristome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
basidiospores ^nns+++??+=basidiospores
measuring ^vwbg+++xvbg+=measuring
4.4 ^cd++++=4.4
6 ^zz++++=6
4.3 ^cd++++=4.3
5.9 ^cd++++=5.9
( ^zz++++=(occasionally
occasionally ^rb++++=EXTRAWORD
up ^rp++++=up
to ^to++++=to
6.8 ^cd++++=6.8)
) ^zz++++=EXTRAWORD
m ^zz++++=m
in ^in++++=in
diameter ^nn+nom+++=diameter
( ^zz++++=(Crous
crous ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
lima ^np++++=Lima
& ^zz++++=&
baseia ^np++++=Baseia
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
