Tacit ^np+++??+=Tacit
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
as ^ql++++=as
it ^pp3+it+++=it
relates ^nns+nom+++=relates
to ^in++++=to
laboratory ^nn++++=laboratory
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
often ^rb++splt++=often
undervalued ^vpsv++agls+xvbnx+=undervalued
within ^in++++=within
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
and ^cc++++=and
humanities ^nns+nom+++=humanities
( ^zz++++=(SSH).
ssh ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
undervaluation ^nn+nom+++=undervaluation
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
more ^rbr++++=more
tangible ^jj++++=tangible
and ^cc++++=and
material ^nn++++=material
nature ^nn++++=nature
of ^in++++=of
research ^nn++++=research
practices ^nns++++=practices
in ^in++++=in
the ^ati++++=the
biological ^jj+atrb+++=biological
sciences ^nns+nom+++=sciences,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
learning ^vbg+vprv++xvbg+=learning
through ^in++++=through
imitation ^nn+nom+++=imitation
is ^vbz+bez+vrb++=is
more ^rbr++++=more
readily ^rb++++=readily
observable ^jj++++=observable.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
research ^nn++++=research
practices ^nns++++=practices
in ^in++++=in
Ssh ^np+++??+=SSH
are ^vb+ber+aux++=are
generally ^rb+down+splt++=generally
perceived ^vpsv++agls+xvbnx+=perceived
as ^ql++++=as
relying ^jj+++xvbg+=relying
on ^in++++=on
rational ^jj+atrb+++=rational
processes ^nns+nom+++=processes
that ^tht+rel+obj++=that
lack ^nn++++=lack
direct ^jj+atrb+++=direct
material ^nn++++=material
manifestation ^nn+nom+++=manifestation.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
mimetic ^jj++++=mimetic
learning ^jj+++xvbg+=learning
also ^rb++++=also
plays ^vbz++++=plays
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
training ^nn++++=training
of ^in++++=of
researchers ^nns+nom+++=researchers
in ^in++++=in
Ssh ^np+++??+=SSH,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
demonstrated ^vbd+vprv++xvbn+=demonstrated,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
novice ^nn++++=novice
students ^nns++++=students
acquire ^vb++++=acquire
interview ^nn++++=interview
skills ^nns++++=skills
by ^in++++=by
observing ^xvbg+++xvbg+=observing
and ^cc++++=and
replicating ^xvbg+++xvbg+=replicating
the ^ati++++=the
methods ^nns++++=methods
and ^cc++++=and
techniques ^nns++++=techniques
employed ^vwbn+++xvbn+=employed
by ^in++++=by
experienced ^jj+atrb+++=experienced
researchers ^nns+nom+++=researchers.
. ^zz++++=EXTRAWORD
