Our ^pp$+pp1+++=Our
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
structured ^vpsv++agls+xvbnx+=structured
around ^rp++++=around
eight ^cd++++=eight
excerpts ^nns++++=excerpts
that ^tht+rel+subj++=that
exhibited ^vprf+++xvbn+=exhibited
significant ^jj+atrb+++=significant
elements ^nns+nom+++=elements
for ^in++++=for
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
including ^in++++=including
adjacency ^nn+++??+=adjacency
pairs ^nns++++=pairs
( ^zz++++=(question/answer),
question ^nn+nom+++=EXTRAWORD
discourse ^nn++++=discourse
markers ^nns+nom+++=markers,
, ^zz++++=EXTRAWORD
so ^ql++++=so-prefaced
- ^zz++++=EXTRAWORD
prefaced ^jj+atrb++xvbn+=EXTRAWORD
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
paraphrases ^nns+++??+=paraphrases,
, ^zz++++=EXTRAWORD
positive ^jj+atrb+++=positive
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
solidarity ^nn+nom+++=solidarity
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
negative ^jj+atrb+++=negative
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
deference ^nn+nom+++=deference
politeness ^nns+nom+++=politeness,
, ^zz++++=EXTRAWORD
properties ^nns++++=properties
of ^in++++=of
formulations ^nns+nom+++=formulations
( ^zz++++=(preservation,
preservation ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
transformation ^nn+nom+++=transformation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
deletion ^nn+nom+++=deletion),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tag ^nn++++=tag
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
facework ^nn+++??+=facework
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
verbal ^jj+atrb+++=verbal
planning ^nn++++=planning
markers ^nns+nom+++=markers,
, ^zz++++=EXTRAWORD
mitigation ^nn+nom+++=mitigation
devices ^nns++++=devices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hedges ^nns++++=hedges.
. ^zz++++=EXTRAWORD
