Regarding ^in++++=Regarding
the ^ati++++=the
peer ^nn++++=peer-review
- ^zz++++=EXTRAWORD
review ^nn++++=EXTRAWORD
process ^nns+nom+++=process,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
contacted ^vbd+++xvbn+=contacted
14 ^cd++++=14
publishers ^nns+nom+++=publishers
in ^in++++=in
response ^nn++++=response
to ^in++++=to
our ^pp$+pp1+++=our
initial ^jj+atrb+++=initial
inquiry ^nn++++=inquiry
to ^in++++=to
request ^nn++++=request
limited ^vbd+++xvbn+=limited
password ^nn++++=password
access ^nn++++=access
to ^in++++=to
their ^pp$+pp3+++=their
peer ^nn++++=peer
review ^nn++++=review
systems ^nns++++=systems,
, ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
our ^pp$+pp1+++=our
familiarity ^nn+nom+++=familiarity
with ^in++++=with
the ^ati++++=the
Open ^jj+atrb+++=Open
Journal ^nn++++=Journal
Systems ^nns++++=Systems
( ^zz++++=(OJS)
ojs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
Five ^cd++++=Five
publishers ^nns+nom+++=publishers
granted ^vbd+vsua++xvbn+=granted
access ^nn++++=access
to ^to++++=to
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
journals ^nns+nom+++=journals
each ^dt++++=each
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Through ^in++++=Through
spot ^nn++++=spot-checking
- ^zz++++=EXTRAWORD
checking ^vbg+++xvbg+=EXTRAWORD
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
12 ^cd++++=12
recent ^jj+atrb+++=recent
articles ^nns++++=articles
per ^in++++=per
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
observed ^vbd+vprv++xvbn+=observed
that ^tht+vcmp+++=that
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
journals ^nns+nom+++=journals
maintained ^vbd+vpub++xvbn+=maintained
complete ^jj++++=complete
sets ^vbz++++=sets
of ^in++++=of
peer ^nn++++=peer
reviews ^nns++++=reviews,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
fifth ^nn++++=fifth
journal ^nn++++=journal
lacked ^vbd+++xvbn+=lacked
reviews ^nns++++=reviews
for ^in++++=for
three ^cd++++=three
out ^rp+pl+++=out
of ^in++++=of
20 ^cd++++=20
articles ^nns++++=articles.
. ^zz++++=EXTRAWORD
On ^in++++=On
average ^jj++++=average,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
1.6 ^cd++++=1.6
reviews ^nns++++=reviews
per ^in++++=per
article ^nn++++=article;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
24 ^cd++++=24
percent ^nnu++++=percent
of ^in++++=of
these ^dt+dem+++=these
reviews ^nns++++=reviews
consisted ^vbd+++xvbn+=consisted
solely ^rb++++=solely
of ^in++++=of
a ^at++++=a
recommendation ^nn+nom+++=recommendation
to ^to++++=to
publish ^vbi++++=publish
without ^in++++=without
additional ^jj+atrb+++=additional
commentary ^nn+nom+++=commentary,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
a ^at++++=a
need ^nn++++=need
for ^in++++=for
improvement ^nn+nom+++=improvement
in ^in++++=in
peer ^nn++++=peer
review ^nn++++=review
quality ^nn+nom+++=quality.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
original ^jj+atrb+++=original
sample ^nn++++=sample
of ^in++++=of
50 ^cd++++=50
randomly ^rb++++=randomly
selected ^xvbn+++xvbn+=selected
publishers ^nns+nom+++=publishers
using ^vwbg+++xvbg+=using
Ojs ^np+++??+=OJS
from ^in++++=from
Beall ^np+++??+=Beall
s ^zz++++=s
list ^nn++++=list,
, ^zz++++=EXTRAWORD
14 ^cd++++=14
percent ^nnu++++=percent
were ^vbd+bed+vrb++=were
largely ^rb++++=largely
compliant ^jj+pred+++=compliant
with ^in++++=with
Beall ^np+++??+=Beall
s ^zz++++=s
basic ^jj+atrb+++=basic
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
with ^in++++=with
five ^cd++++=five
of ^in++++=of
the ^ati++++=the
seven ^cd++++=seven
compliant ^jj+atrb+++=compliant
publishers ^nns+nom+++=publishers
providing ^cs+sub+++=providing
direct ^jj+atrb+++=direct
evidence ^nn+nom+++=evidence
of ^in++++=of
peer ^nn++++=peer
review ^nn++++=review.
. ^zz++++=EXTRAWORD
