Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
an ^at++++=an
exoperidium ^nn+++??+=exoperidium
that ^tht+rel+subj++=that
lacks ^vbz++++=lacks
plication ^nn+nom+++=plication
and ^cc++++=and
is ^vbz+bez+aux++=is
covered ^vpsv++agls+xvbnx+=covered
with ^in++++=with
a ^at++++=a
light ^nn++++=light-colored
- ^zz++++=EXTRAWORD
colored ^jj+atrb++xvbn+=EXTRAWORD
tomentum ^nn+++??+=tomentum
arranged ^vwbn+vsua++xvbn+=arranged
in ^in++++=in
small ^jj+atrb+++=small
tufts ^nns++++=tufts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
endoperidium ^nn+++??+=endoperidium
is ^vbz+bez+vrb++=is
either ^dtx++++=either
smooth ^jj++++=smooth
or ^cc++++=or
only ^rb+down+++=only
slightly ^rb+down+++=slightly
plicate ^nn+nom+++=plicate,
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
a ^at++++=a
light ^nn++++=light,
, ^zz++++=EXTRAWORD
shiny ^jj+atrb+++=shiny
coloration ^nn+nom+++=coloration
that ^tht+rel+obj++=that
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
exterior ^nn++++=exterior
layer ^nn++++=layer.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
peridioles ^nns+++??+=peridioles
possess ^nns+nom+++=possess
a ^at++++=a
double ^jj++++=double-layered
- ^zz++++=EXTRAWORD
layered ^jj+atrb+++=EXTRAWORD
cortex ^nn++++=cortex
( ^zz++++=(Cruz
cruz ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
