During ^in++++=During
the ^ati++++=the
post ^nn++++=post-global
- ^zz++++=EXTRAWORD
global ^jj+atrb+++=EXTRAWORD
crisis ^nn++++=crisis
period ^nn++++=period,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
several ^ap++++=several
emerging ^jj+atrb++xvbg+=emerging
economies ^nns++++=economies
implemented ^vwbn+++xvbn+=implemented
capital ^nn++++=capital
inflow ^nn++++=inflow
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
economists ^nns+nom+++=economists
investigated ^vbd+++xvbn+=investigated
the ^ati++++=the
potential ^jj+atrb+++=potential
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
these ^dt+dem+++=these
measures ^nns++++=measures
within ^in++++=within
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
elevated ^jj+atrb++xvbn+=elevated
global ^jj+atrb+++=global
liquidity ^nn+nom+++=liquidity
and ^cc++++=and
concerns ^nns++++=concerns
that ^tht+rel+++=that
such ^abl++++=such
capital ^nn++++=capital
flow ^nn++++=flow
management ^nn+nom+++=management
measures ^nns++++=measures
( ^zz++++=(CFMs)
cfms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
could ^md+pos+++=could
constitute ^vb++++=constitute
a ^at++++=a
new ^jj+atrb+++=new
form ^nn++++=form
of ^in++++=of
impoverish ^jj++++=impoverish
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
policy ^nn++++=policy.
. ^zz++++=EXTRAWORD
Pasricha ^np+++??+=Pasricha
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2018)
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=made
a ^at++++=a
significant ^jj+atrb+++=significant
contribution ^nn+nom+++=contribution
to ^in++++=to
the ^ati++++=the
literature ^nn++++=literature
on ^in++++=on
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
macroprudential ^jj+atrb+++=macroprudential
policies ^nns++++=policies
by ^in++++=by
utilizing ^xvbg+++xvbg+=utilizing
a ^at++++=a
comprehensive ^jj+atrb+++=comprehensive
capital ^nn++++=capital
controls ^vbz++++=controls
database ^nn+++??+=database
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
measures ^nn++++=measures
adopted ^vwbn+++xvbn+=adopted
by ^in++++=by
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies
before ^in++++=before
and ^cc++++=and
after ^in++++=after
financial ^jj+atrb+++=financial
crises ^nns++++=crises,
, ^zz++++=EXTRAWORD
focusing ^jj+++xvbg+=focusing
on ^in++++=on
financial ^jj+atrb+++=financial
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
exchange ^nn++++=exchange
rate ^nn++++=rate
fluctuations ^nns+nom+++=fluctuations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
employs ^vbz++++=employs
two ^cd++++=two
models ^nns++++=models
to ^to++++=to
evaluate ^nn+nom+++=evaluate
both ^abx++++=both
the ^ati++++=the
domestic ^jj+atrb+++=domestic
impacts ^nns+++??+=impacts
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls
and ^cc++++=and
the ^ati++++=the
spillover ^jjr+atrb+++=spillover
effects ^nns++++=effects
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
the ^ati++++=the
imposition ^nn+nom+++=imposition
of ^in++++=of
controls ^nns++++=controls
by ^in++++=by
certain ^jj+atrb+++=certain
brics ^np++++=BRICS
members ^nns+nom+++=members
on ^in++++=on
other ^ap++++=other
emerging ^vbg+++xvbg+=emerging
economies ^nns++++=economies.
. ^zz++++=EXTRAWORD
