When ^wrb+who+++=When
linguists ^nns+nom+++=linguists
formulate ^nn+nom+++=formulate
research ^nn++++=research
questions ^nns+nom+++=questions
and ^cc++++=and
determine ^vb++++=determine
appropriate ^jj+atrb+++=appropriate
investigative ^jj+atrb+++=investigative
approaches ^nns++++=approaches,
, ^zz++++=EXTRAWORD
numerous ^jj+atrb+++=numerous
decisions ^nns++++=decisions
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
throughout ^in++++=throughout
the ^ati++++=the
research ^nn++++=research
design ^nn++++=design
process ^nns+nom+++=process.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
essential ^jj++++=essential
that ^tht+jcmp+obj++=that
the ^ati++++=the
chosen ^jj+atrb++xvbn+=chosen
methodology ^nn++++=methodology
aligns ^nns+++??+=aligns
with ^in++++=with
the ^ati++++=the
objectives ^nns++++=objectives
of ^in++++=of
the ^ati++++=the
study ^nn++++=study.
. ^zz++++=EXTRAWORD
A ^at++++=A
corpus ^nn++++=corpus
linguistics ^nn++++=linguistics
methodological ^jj+atrb+++=methodological
perspective ^nn++++=perspective
may ^md+pos+++=may
be ^vb+be+vrb++=be
particularly ^rb++++=particularly
suitable ^jj+pred+++=suitable
when ^wrb+who+++=when
the ^ati++++=the
research ^nn++++=research
questions ^nns+nom+++=questions
pertain ^nn+++??+=pertain
to ^in++++=to
patterns ^nns++++=patterns
of ^in++++=of
language ^nn+nom+++=language
use ^nn++++=use
across ^in+pl+++=across
various ^jj+atrb+++=various
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
as ^in++++=as
noted ^nn++++=noted
by ^in++++=by
crawford ^np++++=Crawford
and ^cc++++=and
csomay ^np++++=Csomay.
. ^zz++++=EXTRAWORD
