By ^in++++=By
including ^in++++=including
all ^abn++++=all
Sbd ^np+++??+=SBD
candidates ^nns+nom+++=candidates
in ^in++++=in
the ^ati++++=the
econometric ^jj+atrb+++=econometric
estimation ^nn+nom+++=estimation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
accounts ^nns++++=accounts
for ^in++++=for
the ^ati++++=the
possibility ^nn+nom+++=possibility
of ^in++++=of
cross ^jj++++=cross-commuting,
- ^zz++++=EXTRAWORD
commuting ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
whereby ^cs+sub+++=whereby
workers ^nns+nom+++=workers
may ^md+pos+++=may
select ^jj++++=select
more ^rbr++++=more
distant ^jj+atrb+++=distant
business ^nns+nom+++=business
centers ^nns+nom+++=centers
despite ^in++++=despite
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
closer ^rbr++++=closer
alternatives ^nns++++=alternatives
( ^zz++++=(Plaut
plaut ^nn+++??+=EXTRAWORD
and ^cc++++=and
Plaut ^np+++??+=Plaut,
, ^zz++++=EXTRAWORD
1988 ^cd+date+++=1988;
; ^zz++++=EXTRAWORD
Wrede ^np+++??+=Wrede,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
offers ^vbz++++=offers
greater ^jjr+atrb+++=greater
flexibility ^nn+nom+++=flexibility
compared ^vbd+++xvbn+=compared
to ^in++++=to
models ^nns++++=models
that ^tht+rel+subj++=that
restrict ^vb++++=restrict
workers ^nns+nom+++=workers
to ^to++++=to
choosing ^vbg+++xvbg+=choosing
only ^rb+down+++=only
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
business ^nns+nom+++=business
center ^jjr++++=center
to ^in++++=to
their ^pp$+pp3+++=their
residence ^nn+nom+++=residence,
, ^zz++++=EXTRAWORD
as ^in++++=as
proposed ^nn++++=proposed
by ^in++++=by
Fujita ^np+++??+=Fujita
and ^cc++++=and
Ogawa ^np+++??+=Ogawa
( ^zz++++=(1982)
1982 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
baumont ^np++++=Baumont,
, ^zz++++=EXTRAWORD
ertur ^np++++=Ertur,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gallo ^np++++=Gallo
( ^zz++++=(2004).
2004 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
