Based ^xvbn+++xvbn+=Based
on ^in++++=on
this ^dt+dem+++=this
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
Scholz ^np+++??+=Scholz
constructs ^vbz++++=constructs
a ^at++++=a
discourse ^nn++++=discourse
that ^tht+rel+obj++=that
frames ^nns++++=frames
national ^jj+atrb+++=national
security ^nn+nom+++=security
as ^ql++++=as
being ^jj+++xvbg+=being
under ^in++++=under
threat ^nn++++=threat,
, ^zz++++=EXTRAWORD
characterized ^xvbn+++xvbn+=characterized
by ^in++++=by
its ^pp$+it+++=its
proximity ^nn+nom+++=proximity,
, ^zz++++=EXTRAWORD
latent ^jj+atrb+++=latent
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
potential ^nn++++=potential
to ^to+ncmp+++=to
materialize ^vbi++++=materialize
in ^in++++=in
the ^ati++++=the
near ^in+pl+++=near
future ^nn++++=future.
. ^zz++++=EXTRAWORD
The ^ati++++=The
war ^nn++++=war
in ^in++++=in
Ukraine ^np++++=Ukraine
is ^vbz+bez+aux++=is
depicted ^vpsv++agls+xvbnx+=depicted
without ^in++++=without
reference ^nn+nom+++=reference
to ^in++++=to
its ^pp$+it+++=its
historical ^jj+atrb+++=historical
context ^nn++++=context,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
being ^xvbg+++xvbg+=being
presented ^vbd+++xvbn+=presented
as ^ql++++=as
an ^at++++=an
act ^nn++++=act
of ^in++++=of
aggression ^nn++++=aggression
aimed ^vbd+++xvbn+=aimed
at ^rb++++=at
initiating ^jj+atrb+++=initiating
imperial ^jj+atrb+++=imperial
expansion ^nn++++=expansion
that ^tht+rel+subj++=that
could ^md+pos+++=could
eventually ^rb+tm+splt++=eventually
involve ^vb++++=involve
Germany ^np++++=Germany.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
perceived ^jj+atrb++xvbn+=perceived
threat ^nn++++=threat
to ^in+ncmp+++=to
