Climatic ^np+++??+=Climatic
changes ^nns++++=changes
and ^cc++++=and
ongoing ^jj+atrb++xvbg+=ongoing
environmental ^jj+atrb+++=environmental
modifications ^nns+nom+++=modifications
have ^vb+hv+aux++=have
led ^vprf+++xvbnx+=led
to ^in++++=to
significant ^jj+atrb+++=significant
shifts ^nns++++=shifts
in ^in++++=in
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
within ^in++++=within
insect ^nn++++=insect
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
increased ^jj+atrb++xvbn+=increased
dispersion ^nn++++=dispersion
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
among ^in++++=among
species ^nn++++=species
of ^in++++=of
medical ^jj+atrb+++=medical
and ^cc+phrs+++=and
epidemiological ^jj+atrb+++=epidemiological
relevance ^nn+nom+++=relevance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
data ^nns++++=data
presented ^vwbn+++xvbn+=presented
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study
may ^md+pos+++=may
serve ^vb++++=serve
as ^in++++=as
a ^at++++=a
valuable ^jj+atrb+++=valuable
resource ^nn++++=resource
for ^in++++=for
future ^jjb+atrb+++=future
research ^nn++++=research
on ^in++++=on
ecological ^jj++++=ecological,
, ^zz++++=EXTRAWORD
environmental ^jj++++=environmental,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
biodiversity ^nn+nom+++=biodiversity-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
particular ^jj+atrb+++=particular
focus ^nn++++=focus
on ^in++++=on
medically ^rb++++=medically
important ^jj+atrb+++=important
species ^nn++++=species
within ^in++++=within
the ^ati++++=the
One ^cd1++++=One
Health ^nn++++=Health
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
Notably ^rb+cnj+++=Notably,
, ^zz++++=EXTRAWORD
the ^ati++++=the
current ^jj+atrb+++=current
collection ^nn+nom+++=collection
includes ^vb++++=includes
18 ^cd++++=18
species ^nns++++=species
recorded ^vbd+++xvbn+=recorded
for ^in++++=for
the ^ati++++=the
first ^od++++=first
time ^nn++++=time
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Paran ^np+++??+=Paran
, ^zz++++=,
providing ^vbg+++xvbg+=providing
a ^at++++=a
significant ^jj+atrb+++=significant
reference ^nn+nom+++=reference
for ^in++++=for
studies ^nns++++=studies
on ^in++++=on
mosquito ^nn+++??+=mosquito
biodiversity ^nn+nom+++=biodiversity.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
underscore ^nn+++??+=underscore
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
maintaining ^jj++++=maintaining
and ^cc++++=and
regularly ^rb++++=regularly
updating ^jj+atrb+++=updating
biological ^jj+atrb+++=biological
collections ^nns+nom+++=collections.
. ^zz++++=EXTRAWORD
