There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
broad ^jj+atrb+++=broad
agreement ^nn+nom+++=agreement
that ^tht+vcmp+obj++=that
the ^ati++++=the
pandemic ^nn++++=pandemic
has ^vbz+hvz+vrb++=has
the ^ati++++=the
potential ^nn++++=potential
to ^to+ncmp+++=to
exacerbate ^nn+nom+++=exacerbate
pre ^nn+++??+=pre-existing
- ^zz++++=EXTRAWORD
existing ^jj+atrb++xvbg+=EXTRAWORD
labor ^nn++++=labor
market ^nn++++=market
inequalities ^nns+nom+++=inequalities,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
with ^in++++=with
respect ^nn++++=respect
to ^in++++=to
unequal ^jj+atrb+++=unequal
access ^nn++++=access
to ^in++++=to
remote ^jj+atrb+++=remote
work ^nn++++=work
opportunities ^nns+nom+++=opportunities.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
examines ^vbz++++=examines
disparities ^nns+nom+++=disparities
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
in ^in++++=in
Brazil ^np++++=Brazil
using ^vwbg+++xvbg+=using
descriptive ^jj+atrb+++=descriptive
analyses ^nns++++=analyses
and ^cc++++=and
Probit ^np+++??+=Probit
regressions ^vbz+++??+=regressions
based ^vbd+++xvbn+=based
on ^in++++=on
Pnad ^np+++??+=PNAD
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
microdata ^nn+++??+=microdata.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
individuals ^nns+nom+++=individuals
with ^in++++=with
the ^ati++++=the
lowest ^jjt+atrb+++=lowest
likelihood ^nn+nom+++=likelihood
of ^in++++=of
engaging ^nn++++=engaging
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
were ^vbd+bed+vrb++=were
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
were ^vbd+bed+vrb++=were
poorer ^jjr+pred+++=poorer,
, ^zz++++=EXTRAWORD
male ^jj++++=male,
, ^zz++++=EXTRAWORD
residing ^vbg+++xvbg+=residing
in ^in++++=in
rural ^jj+atrb+++=rural
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-white,
- ^zz++++=EXTRAWORD
white ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
lacking ^jj+++xvbg+=lacking
a ^at++++=a
college ^nn++++=college
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
self ^nn++++=self-employed
- ^zz++++=EXTRAWORD
employed ^vbd+++xvbn+=EXTRAWORD
or ^cc+phrs+++=or
employed ^vbd+++xvbn+=employed
in ^in++++=in
the ^ati++++=the
private ^jj+atrb+++=private
sector ^nn++++=sector,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
working ^nvbg+++xvbg+=working
in ^in++++=in
agriculture ^nn++++=agriculture.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
a ^at++++=a
significant ^jj+atrb+++=significant
portion ^nn+nom+++=portion
of ^in++++=of
these ^dt+dem+++=these
disparities ^nns+nom+++=disparities
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
occupational ^jj+atrb+++=occupational
selection ^nn+nom+++=selection,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
variables ^nns++++=variables
most ^ql+emph+++=most
notably ^rb++++=notably
college ^nn++++=college
education ^nn+nom+++=education
and ^cc++++=and
labor ^nn++++=labor
income ^nn++++=income
exhibited ^vbd+++xvbn+=exhibited
substantial ^jj+atrb+++=substantial
independent ^jj+atrb+++=independent
effects ^nns++++=effects.
. ^zz++++=EXTRAWORD
Overall ^jjb++++=Overall,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pandemic ^nn++++=pandemic
intensified ^vbd+++xvbn+=intensified
existing ^vbg+++xvbg+=existing
inequalities ^nns+nom+++=inequalities
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
opportunities ^nns+nom+++=opportunities,
, ^zz++++=EXTRAWORD
disproportionately ^rb++++=disproportionately
benefiting ^vbg+++xvbg+=benefiting
wealthier ^jjr++++=wealthier,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
educated ^jj+++xvbn+=educated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
formally ^rb++++=formally
employed ^xvbn+++xvbn+=employed
workers ^nns+nom+++=workers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
compelling ^jj+++xvbg+=compelling
others ^aps++++=others
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
maintaining ^xvbg+++xvbg+=maintaining
employment ^nn+nom+++=employment
and ^cc++++=and
income ^nn++++=income
or ^cc++++=or
facing ^vbg+++xvbg+=facing
increased ^vprf+++xvbn+=increased
risk ^vb++++=risk
of ^in++++=of
contagion ^nn++++=contagion.
. ^zz++++=EXTRAWORD
