Brazil ^np++++=Brazil
faces ^nns++++=faces
the ^ati++++=the
challenge ^nn++++=challenge
of ^in++++=of
compensating ^nn++++=compensating
for ^in++++=for
historical ^jj+atrb+++=historical
delays ^nns++++=delays
in ^in++++=in
pharmaceutical ^jj+atrb+++=pharmaceutical
development ^nn+nom+++=development,
, ^zz++++=EXTRAWORD
a ^at++++=a
situation ^nn+nom+++=situation
that ^tht+rel+subj++=that
extends ^vbz++++=extends
to ^in++++=to
the ^ati++++=the
broader ^jjr++++=broader
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
region ^nn++++=region
( ^zz++++=(Valli,
valli ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Russo ^np+++??+=Russo,
, ^zz++++=EXTRAWORD
& ^zz++++=&
Bolzani ^np+++??+=Bolzani,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
subcontinent ^jj++++=subcontinent
is ^vbz+bez+vrb++=is
at ^rb++++=at
a ^at++++=a
disadvantage ^nn+nom+++=disadvantage
in ^in++++=in
this ^dt+dem+++=this
sector ^nn++++=sector;
; ^zz++++=EXTRAWORD
between ^in++++=between
1981 ^cd+date+++=1981
and ^cc++++=and
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
1,211 ^cd++++=1,211
new ^jj+atrb+++=new
pharmaceutical ^jj+atrb+++=pharmaceutical
products ^nns++++=products
were ^vbd+bed+aux++=were
introduced ^vpsv++agls+xvbnx+=introduced
globally ^rb+cnj+++=globally,
, ^zz++++=EXTRAWORD
with ^in++++=with
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
derived ^vbd+++xvbn+=derived
from ^in++++=from
natural ^jj+atrb+++=natural
substances ^nns+nom+++=substances
or ^cc++++=or
inspired ^vpsv++by+xvbn+=inspired
by ^in++++=by
natural ^jj+atrb+++=natural
structures ^nns++++=structures
( ^zz++++=(Newman
newman ^np++++=EXTRAWORD
& ^zz++++=&
cragg ^np++++=Cragg,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
