It ^pp3+it+++=It
remains ^vbz++++=remains
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
whether ^cs+who+++=whether
the ^ati++++=the
ongoing ^jj+atrb++xvbg+=ongoing
developments ^nns+nom+++=developments
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
on ^in++++=on
open ^jj+atrb+++=open
economies ^nns++++=economies
will ^md+prd+++=will
lead ^vb++++=lead
to ^in++++=to
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
consensus ^nn++++=consensus
regarding ^in++++=regarding
capital ^nn++++=capital
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
