As ^in++++=As
a ^at++++=a
starting ^jj+atrb++xvbg+=starting
point ^nn++++=point
for ^in++++=for
estimating ^xvbg+++xvbg+=estimating
the ^ati++++=the
Hedonic ^np+++??+=Hedonic
Price ^nn++++=Price
Model ^nn++++=Model,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Ordinary ^jj++++=Ordinary
Least ^ql++++=Least
Squares ^nns++++=Squares
( ^zz++++=(OLS)
ols ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
estimation ^nn+nom+++=estimation
used ^vwbn+++xvbn+=used
in ^in++++=in
Equation ^nn+nom+++=Equation
1 ^zz++++=1
imposes ^vbz++++=imposes
the ^ati++++=the
following ^jj+atrb++xvbg+=following
restrictions ^nns+nom+++=restrictions
on ^in++++=on
the ^ati++++=the
spatial ^jj+atrb+++=spatial
parameters ^nns+nom+++=parameters:
: ^zz++++=EXTRAWORD
= ^zz++++==
= ^zz++++==
= ^zz++++==
= ^zz++++==
0 ^zz++++=0.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
enables ^vbz++++=enables
an ^at++++=an
assessment ^nn+nom+++=assessment
of ^in++++=of
whether ^cs+who+++=whether
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
control ^nn++++=control
variables ^nns++++=variables
addresses ^nns+nom+++=addresses
the ^ati++++=the
potential ^jj+atrb+++=potential
spatial ^jj+atrb+++=spatial
dependence ^nn+nom+++=dependence
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
and ^cc++++=and
allows ^vbz++++=allows
for ^in+ppvb+++=for
the ^ati++++=the
evaluation ^nn+nom+++=evaluation
of ^in++++=of
whether ^cs+who+++=whether
the ^ati++++=the
price ^nn++++=price
gradient ^nn++++=gradient
declines ^vbz++++=declines
with ^in++++=with
increasing ^jj+atrb+++=increasing
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
central ^jj+atrb+++=central
business ^nns+nom+++=business
district ^nn++++=district
( ^zz++++=(CBD).
cbd ^nn++++=EXTRAWORD
). ^nn++++=EXTRAWORD
