Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
small ^jj++++=small,
, ^zz++++=EXTRAWORD
cespitose ^nn+++??+=cespitose
basidiomata ^nn+++??+=basidiomata
and ^cc++++=and
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
white ^jj++++=white
to ^in++++=to
yellowish ^jj+atrb+++=yellowish
subiculum ^nn+++??+=subiculum
that ^tht+rel+subj++=that
extends ^vbz++++=extends
across ^in+pl+++=across
the ^ati++++=the
substrate ^nn+nom+++=substrate,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
decomposing ^vbg+++xvbgx+=decomposing
wood ^nn++++=wood
( ^zz++++=(Baseia
baseia ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Phylogenetic ^np+++??+=Phylogenetic
analyses ^nns++++=analyses
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
that ^tht+vcmp+++=that
some ^dti++++=some
specimens ^nns++++=specimens
previously ^rb+tm+++=previously
identified ^vbd+++xvbn+=identified
as ^ql++++=as
G ^zz++++=G.
. ^zz++++=EXTRAWORD
schweinitzii ^nn+++??+=schweinitzii
in ^in++++=in
the ^ati++++=the
Neotropics ^np+++??+=Neotropics
represent ^vb++++=represent
distinct ^jj+atrb+++=distinct
species ^nn++++=species,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
G ^zz++++=G.
. ^zz++++=EXTRAWORD
schweinitzii ^nn+++??+=schweinitzii
may ^md+pos+++=may
be ^vb+be+vrb++=be
endemic ^jj+pred+++=endemic
to ^in++++=to
the ^ati++++=the
region ^nn++++=region
where ^wrb+who+++=where
the ^ati++++=the
type ^nn++++=type
material ^nn++++=material
was ^vbd+bedz+aux++=was
originally ^rb+tm+splt++=originally
collected ^vpsv++agls+xvbn+=collected
( ^zz++++=(Accioly
accioly ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
